step,loss,lr,grad_norm,peak_mem_gb,tok_seen
1,12.121814727783203,1.7e-06,4.9375,50.008549888,65536
2,12.098909378051758,3.4e-06,5.125,52.392778752,131072
3,12.145540237426758,5.0999999999999995e-06,4.90625,52.392778752,196608
4,12.123058319091797,6.8e-06,5.03125,52.392778752,262144
5,12.107919692993164,8.5e-06,5.03125,52.392778752,327680
6,12.108322143554688,1.0199999999999999e-05,5.0625,52.392778752,393216
7,12.02324104309082,1.19e-05,5.78125,52.392778752,458752
8,12.056910514831543,1.36e-05,4.84375,52.392778752,524288
9,12.076745986938477,1.53e-05,4.90625,52.392778752,589824
10,11.99549674987793,1.7e-05,5.25,52.392778752,655360
11,11.932998657226562,1.8699999999999997e-05,4.84375,52.392778752,720896
12,11.857046127319336,2.0399999999999998e-05,5.15625,52.392778752,786432
13,11.75206184387207,2.21e-05,5.4375,52.392778752,851968
14,11.679993629455566,2.38e-05,5.40625,52.392778752,917504
15,11.528092384338379,2.5499999999999996e-05,5.46875,52.392778752,983040
16,11.450553894042969,2.72e-05,5.125,52.392778752,1048576
17,11.408951759338379,2.89e-05,4.75,52.392778752,1114112
18,11.150806427001953,3.06e-05,4.59375,52.392778752,1179648
19,11.049687385559082,3.23e-05,4.0,52.392778752,1245184
20,11.074548721313477,3.4e-05,3.6875,52.392778752,1310720
21,10.905145645141602,3.57e-05,3.046875,52.392778752,1376256
22,10.913247108459473,3.7399999999999994e-05,3.125,52.392778752,1441792
23,10.726957321166992,3.9099999999999995e-05,2.515625,52.392778752,1507328
24,10.666297912597656,4.0799999999999996e-05,2.390625,52.392778752,1572864
25,10.65412425994873,4.25e-05,2.34375,52.392778752,1638400
26,10.509845733642578,4.42e-05,2.296875,52.392778752,1703936
27,10.46747875213623,4.59e-05,2.3125,52.392778752,1769472
28,10.427347183227539,4.76e-05,2.328125,52.392778752,1835008
29,10.333250999450684,4.93e-05,2.21875,52.392778752,1900544
30,10.34742546081543,5.099999999999999e-05,2.28125,52.392778752,1966080
31,10.38990592956543,5.2699999999999993e-05,2.171875,52.392778752,2031616
32,10.285483360290527,5.44e-05,2.078125,52.392778752,2097152
33,10.226861953735352,5.61e-05,2.109375,52.392778752,2162688
34,10.15678596496582,5.78e-05,2.125,52.392778752,2228224
35,10.202947616577148,5.95e-05,2.171875,52.392778752,2293760
36,10.00422477722168,6.12e-05,2.078125,52.392778752,2359296
37,10.117385864257812,6.29e-05,2.015625,52.392778752,2424832
38,10.013551712036133,6.46e-05,2.03125,52.392778752,2490368
39,9.892778396606445,6.63e-05,2.046875,52.392778752,2555904
40,9.79623031616211,6.8e-05,2.03125,52.392778752,2621440
41,9.799699783325195,6.97e-05,1.8515625,52.392778752,2686976
42,9.799991607666016,7.14e-05,1.8828125,52.392778752,2752512
43,9.59221076965332,7.309999999999999e-05,1.7890625,52.392778752,2818048
44,9.685874938964844,7.479999999999999e-05,1.6875,52.392778752,2883584
45,9.588571548461914,7.649999999999999e-05,1.671875,52.392778752,2949120
46,9.432830810546875,7.819999999999999e-05,1.671875,52.392778752,3014656
47,9.492898941040039,7.989999999999999e-05,1.6484375,52.392778752,3080192
48,9.187173843383789,8.159999999999999e-05,1.6328125,52.392778752,3145728
49,9.186689376831055,8.329999999999999e-05,1.6171875,52.392778752,3211264
50,9.238668441772461,8.5e-05,1.4921875,52.392778752,3276800
51,8.874149322509766,8.669999999999999e-05,1.53125,52.392778752,3342336
52,9.042531967163086,8.84e-05,1.4609375,52.392778752,3407872
53,8.721137046813965,9.01e-05,1.390625,52.392778752,3473408
54,8.75925064086914,9.18e-05,1.3359375,52.392778752,3538944
55,8.675683975219727,9.35e-05,1.234375,52.392778752,3604480
56,8.55682373046875,9.52e-05,1.265625,52.392778752,3670016
57,8.641180038452148,9.69e-05,1.1875,52.392778752,3735552
58,8.60498332977295,9.86e-05,1.15625,52.392778752,3801088
59,8.280929565429688,0.00010029999999999998,1.125,52.392778752,3866624
60,8.285188674926758,0.00010199999999999999,1.09375,52.392778752,3932160
61,8.26065444946289,0.00010369999999999999,0.94921875,52.392778752,3997696
62,8.315389633178711,0.00010539999999999999,0.96875,52.392778752,4063232
63,8.298402786254883,0.0001071,0.8515625,52.392778752,4128768
64,8.197991371154785,0.0001088,0.83984375,52.392778752,4194304
