step,loss,lr,grad_norm,peak_mem_gb,tok_seen
1,12.096508026123047,3.4e-05,5.46875,50.008549888,65536
2,12.107840538024902,6.8e-05,4.875,52.392778752,131072
3,11.82025146484375,0.00010199999999999999,4.875,52.392778752,196608
4,11.272128105163574,0.000136,4.90625,52.392778752,262144
5,10.774563789367676,0.00017,3.03125,52.392778752,327680
6,10.48049545288086,0.00020399999999999997,2.40625,52.392778752,393216
7,10.338521003723145,0.000238,2.359375,52.392778752,458752
8,10.381368637084961,0.000272,2.28125,52.392778752,524288
9,9.966172218322754,0.00030599999999999996,2.25,52.392778752,589824
10,9.720087051391602,0.00034,1.9296875,52.392778752,655360
11,9.344568252563477,0.000374,1.703125,52.392778752,720896
12,9.105535507202148,0.00040799999999999994,1.5546875,52.392778752,786432
13,8.80586051940918,0.000442,1.4375,52.392778752,851968
14,8.610053062438965,0.000476,1.3359375,52.392778752,917504
15,8.33073616027832,0.0005099999999999999,1.03125,52.392778752,983040
16,7.982264041900635,0.000544,0.87109375,52.392778752,1048576
17,7.9911980628967285,0.0005780000000000001,0.796875,52.392778752,1114112
18,7.861474990844727,0.0006119999999999999,0.87109375,52.392778752,1179648
19,7.765074253082275,0.000646,0.66015625,52.392778752,1245184
20,7.695536136627197,0.00068,0.75390625,52.392778752,1310720
21,7.756232261657715,0.0007139999999999999,0.7265625,52.392778752,1376256
22,7.835700511932373,0.000748,0.75390625,52.392778752,1441792
23,7.864021301269531,0.000782,1.0,52.392778752,1507328
24,7.597291946411133,0.0008159999999999999,0.78515625,52.392778752,1572864
25,7.895949840545654,0.00085,0.875,52.392778752,1638400
26,7.6870808601379395,0.000884,0.734375,52.392778752,1703936
27,7.635837078094482,0.000918,0.6484375,52.392778752,1769472
28,7.763897895812988,0.000952,0.79296875,52.392778752,1835008
29,7.706759452819824,0.000986,1.0234375,52.392778752,1900544
30,7.70443058013916,0.0010199999999999999,0.69140625,52.392778752,1966080
31,7.765312194824219,0.001054,0.609375,52.392778752,2031616
32,7.84018087387085,0.001088,0.5625,52.392778752,2097152
33,7.8152570724487305,0.001122,0.609375,52.392778752,2162688
34,7.798171043395996,0.0011560000000000001,0.6796875,52.392778752,2228224
35,7.834037780761719,0.0011899999999999999,0.58203125,52.392778752,2293760
36,7.63976526260376,0.0012239999999999998,0.55859375,52.392778752,2359296
37,7.651976585388184,0.001258,0.482421875,52.392778752,2424832
38,7.721376419067383,0.001292,0.6796875,52.392778752,2490368
39,7.8145551681518555,0.001326,0.58203125,52.392778752,2555904
40,7.750535011291504,0.00136,0.70703125,52.392778752,2621440
41,7.707426071166992,0.0013939999999999998,0.67578125,52.392778752,2686976
42,7.73690938949585,0.0014279999999999998,0.640625,52.392778752,2752512
43,7.733425140380859,0.001462,0.6875,52.392778752,2818048
