step,loss,lr,grad_norm,peak_mem_gb,tok_seen
1,2.6976022720336914,4.5454545454545455e-06,0.58984375,50.008549888,524288
2,2.564249277114868,9.090909090909091e-06,0.578125,52.392778752,1048576
3,2.6884925365448,1.3636363636363637e-05,0.62109375,52.392778752,1572864
4,2.568589925765991,1.8181818181818182e-05,0.58984375,52.392778752,2097152
5,2.890206813812256,2.272727272727273e-05,0.58203125,52.392778752,2621440
6,2.6008195877075195,2.7272727272727273e-05,0.59765625,52.392778752,3145728
7,2.6857049465179443,3.181818181818182e-05,0.578125,52.392778752,3670016
8,2.9348559379577637,3.6363636363636364e-05,0.58984375,52.392778752,4194304
9,2.4311137199401855,4.0909090909090915e-05,0.5625,52.392778752,4718592
10,2.594373941421509,4.545454545454546e-05,0.5546875,52.392778752,5242880
11,2.6591756343841553,5e-05,0.546875,52.392778752,5767168
12,2.5333242416381836,4.9997609681985896e-05,0.55078125,52.392778752,6291456
13,2.702815055847168,4.99904391857657e-05,0.5390625,52.392778752,6815744
14,2.529871702194214,4.9978489884718133e-05,0.53125,52.392778752,7340032
15,2.584946870803833,4.996176406751542e-05,0.498046875,52.392778752,7864320
16,2.723728656768799,4.9940264937685e-05,0.5234375,52.392778752,8388608
17,2.412076234817505,4.9913996612995866e-05,0.490234375,52.392778752,8912896
18,2.5035605430603027,4.988296412466996e-05,0.5,52.392778752,9437184
19,2.5545036792755127,4.984717341641849e-05,0.490234375,52.392778752,9961472
20,2.6841344833374023,4.9806631343303534e-05,0.466796875,52.392778752,10485760
21,2.6677162647247314,4.976134567042506e-05,0.48046875,52.392778752,11010048
22,2.7050280570983887,4.971132507143367e-05,0.46484375,52.392778752,11534336
23,2.543644905090332,4.9656579126869365e-05,0.45703125,52.392778752,12058624
24,2.618846893310547,4.959711832232648e-05,0.466796875,52.392778752,12582912
25,2.573274850845337,4.9532954046445414e-05,0.447265625,52.392778752,13107200
26,2.7410247325897217,4.9464098588731335e-05,0.453125,52.392778752,13631488
27,2.596062660217285,4.939056513720035e-05,0.45703125,52.392778752,14155776
28,2.4680871963500977,4.9312367775853566e-05,0.4609375,52.392778752,14680064
29,2.4849913120269775,4.922952148197956e-05,0.439453125,52.392778752,15204352
30,2.512075662612915,4.914204212328577e-05,0.439453125,52.392778752,15728640
31,2.3752379417419434,4.9049946454859266e-05,0.427734375,52.392778752,16252928
32,2.43276309967041,4.89532521159577e-05,0.427734375,52.392778752,16777216
33,2.4717323780059814,4.885197762663076e-05,0.43359375,52.392778752,17301504
34,2.6436431407928467,4.874614238417301e-05,0.42578125,52.392778752,17825792
35,2.288785219192505,4.86357666594087e-05,0.427734375,52.392778752,18350080
36,2.3464739322662354,4.8520871592809234e-05,0.412109375,52.392778752,18874368
37,2.6112124919891357,4.840147919044413e-05,0.416015625,52.392778752,19398656
38,2.5994200706481934,4.827761231976611e-05,0.416015625,52.392778752,19922944
39,2.460094928741455,4.8149294705231284e-05,0.404296875,52.392778752,20447232
40,2.4169156551361084,4.8016550923755186e-05,0.41015625,52.392778752,20971520
41,2.4206418991088867,4.787940640000543e-05,0.41015625,52.392778752,21495808
42,2.633113384246826,4.773788740153217e-05,0.412109375,52.392778752,22020096
43,2.528029441833496,4.7592021033736935e-05,0.3984375,52.392778752,22544384
44,2.650517702102661,4.7441835234681164e-05,0.404296875,52.392778752,23068672
45,2.7274904251098633,4.728735876973513e-05,0.400390625,52.392778752,23592960
46,2.287501811981201,4.712862122606845e-05,0.392578125,52.392778752,24117248
47,2.5294249057769775,4.696565300698322e-05,0.400390625,52.392778752,24641536
48,2.7965848445892334,4.6798485326090807e-05,0.392578125,52.392778752,25165824
49,2.4872989654541016,4.662715020133343e-05,0.39453125,52.392778752,25690112
50,2.365374803543091,4.6451680448851744e-05,0.39453125,52.392778752,26214400
51,2.5603861808776855,4.627210967669943e-05,0.396484375,52.392778752,26738688
52,2.3191521167755127,4.608847227840629e-05,0.404296875,52.392778752,27262976
53,2.5464470386505127,4.590080342639066e-05,0.3984375,52.392778752,27787264
54,2.9295780658721924,4.570913906522288e-05,0.37890625,52.392778752,28311552
55,2.584190845489502,4.55135159047407e-05,0.3828125,52.392778752,28835840
56,2.5177712440490723,4.531397141301819e-05,0.373046875,52.392778752,29360128
57,2.4517128467559814,4.511054380918943e-05,0.384765625,52.392778752,29884416
58,2.653517723083496,4.490327205612829e-05,0.38671875,52.392778752,30408704
59,2.7172865867614746,4.4692195852985825e-05,0.38671875,52.392778752,30932992
60,2.287430763244629,4.447735562758662e-05,0.3828125,52.392778752,31457280
61,2.479586124420166,4.425879252868556e-05,0.396484375,52.392778752,31981568
62,2.513838768005371,4.403654841808651e-05,0.38671875,52.392778752,32505856
63,2.5468804836273193,4.3810665862624515e-05,0.388671875,52.392778752,33030144
64,2.6186447143554688,4.358118812601281e-05,0.390625,52.392778752,33554432
65,2.4781405925750732,4.3348159160556526e-05,0.392578125,52.392778752,34078720
66,2.3515522480010986,4.311162359873431e-05,0.39453125,52.392778752,34603008
67,2.471297264099121,4.28716267446499e-05,0.380859375,52.392778752,35127296
68,2.3986763954162598,4.262821456535487e-05,0.373046875,52.392778752,35651584
69,2.615963935852051,4.2381433682044486e-05,0.384765625,52.392778752,36175872
70,2.7156765460968018,4.2131331361128275e-05,0.390625,52.392778752,36700160
71,2.5541582107543945,4.187795550517701e-05,0.376953125,52.392778752,37224448
72,2.3292269706726074,4.162135464374779e-05,0.36328125,52.392778752,37748736
73,2.2577826976776123,4.136157792408914e-05,0.37109375,52.392778752,38273024
74,2.5106639862060547,4.109867510172772e-05,0.3671875,52.392778752,38797312
75,2.47672438621521,4.083269653093854e-05,0.400390625,52.392778752,39321600
76,2.3552215099334717,4.056369315510055e-05,0.388671875,52.392778752,39845888
77,3.4033665657043457,4.0291716496939305e-05,0.3671875,52.392778752,40370176
78,2.4901068210601807,4.001681864865877e-05,0.37109375,52.392778752,40894464
79,2.444719076156616,3.973905226196398e-05,0.373046875,52.392778752,41418752
80,2.5659542083740234,3.9458470537976564e-05,0.37109375,52.392778752,41943040
81,2.4812705516815186,3.9175127217045e-05,0.390625,52.392778752,42467328
82,2.8354458808898926,3.888907656845169e-05,0.380859375,52.392778752,42991616
83,2.6284685134887695,3.860037338001862e-05,0.384765625,52.392778752,43515904
84,2.5418925285339355,3.830907294761372e-05,0.365234375,52.392778752,44040192
85,2.444404125213623,3.8015231064560004e-05,0.36328125,52.392778752,44564480
86,2.3512468338012695,3.771890401094933e-05,0.3984375,52.392778752,45088768
87,2.651083469390869,3.7420148542862985e-05,0.392578125,52.392778752,45613056
88,2.6048476696014404,3.7119021881501034e-05,0.373046875,52.392778752,46137344
89,2.477079153060913,3.681558170222273e-05,0.37109375,52.392778752,46661632
90,2.415327787399292,3.650988612349977e-05,0.373046875,52.392778752,47185920
91,2.6174325942993164,3.620199369578475e-05,0.388671875,52.392778752,47710208
92,2.3761653900146484,3.589196339029695e-05,0.375,52.392778752,48234496
93,2.692856788635254,3.55798545877274e-05,0.3671875,52.392778752,48758784
94,2.4947595596313477,3.52657270668656e-05,0.3671875,52.392778752,49283072
95,2.312882900238037,3.494964099315002e-05,0.365234375,52.392778752,49807360
96,2.518998384475708,3.4631656907144425e-05,0.376953125,52.392778752,50331648
97,2.4853408336639404,3.431183571294249e-05,0.376953125,52.392778752,50855936
98,2.4430947303771973,3.3990238666502704e-05,0.3671875,52.392778752,51380224
99,2.498168468475342,3.366692736391587e-05,0.388671875,52.392778752,51904512
100,2.448139190673828,3.334196372960754e-05,0.3671875,52.392778752,52428800
101,2.450831174850464,3.301541000447746e-05,0.376953125,52.392778752,52953088
102,2.464350700378418,3.2687328733978495e-05,0.384765625,52.392778752,53477376
