[safe_cuda] capped CUDA at 85% of 129 GB unified pool (~109 GB); over-allocation now errors cleanly.
[06:53:29] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0001 | vr=False ln=False hg=False | steps=2000 seed=1 tok/step=65,536
[06:53:30] optimizer split: 197 / 113 param tensors
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[06:53:33]   loaded cached tokens from tokcache_133072000_300000_seed0_Qwen3-0.6B-Base.pt (133,072,000 train + 300,000 val)
[06:53:33] Compiling model...
[06:55:47] step    10/2000  ce 10.0065  z 0.01419  lr 1.70e-04  |grad| 1.92  mem 67.3GB  tok/s 4,905
[06:57:56] step    20/2000  ce 8.0302  z 0.01237  lr 3.40e-04  |grad| 0.96  mem 67.3GB  tok/s 4,984
[07:00:06] step    30/2000  ce 7.9152  z 0.01351  lr 5.10e-04  |grad| 0.87  mem 67.3GB  tok/s 5,012
[07:02:15] step    40/2000  ce 7.6159  z 0.01293  lr 6.80e-04  |grad| 0.67  mem 67.3GB  tok/s 5,026
[07:04:25] step    50/2000  ce 7.3792  z 0.01227  lr 8.50e-04  |grad| 1.36  mem 67.3GB  tok/s 5,033
[07:06:34] step    60/2000  ce 7.3214  z 0.01275  lr 1.02e-03  |grad| 0.86  mem 67.3GB  tok/s 5,037
[07:08:43] step    70/2000  ce 7.2963  z 0.01292  lr 1.19e-03  |grad| 0.52  mem 67.3GB  tok/s 5,041
[07:10:53] step    80/2000  ce 7.1085  z 0.01334  lr 1.36e-03  |grad| 0.80  mem 67.3GB  tok/s 5,043
[07:13:03] step    90/2000  ce 6.8220  z 0.01308  lr 1.53e-03  |grad| 0.56  mem 67.3GB  tok/s 5,045
[07:15:12] step   100/2000  ce 6.7517  z 0.01342  lr 1.70e-03  |grad| 0.55  mem 67.3GB  tok/s 5,046
[07:17:22] step   110/2000  ce 6.8488  z 0.01339  lr 1.70e-03  |grad| 0.59  mem 67.3GB  tok/s 5,047
