[03:11:22] ARM arch=imu1 schedule=cosine optimizer=adamw zloss=0.0 | vr=True ln=True hg=True | steps=2000 seed=1 tok/step=65,536
[03:11:22] optimizer split: 225 / 197 param tensors
[03:11:25]   loaded cached tokens from tokcache_133072000_300000_seed0_Qwen3-0.6B-Base.pt (133,072,000 train + 300,000 val)
[03:11:25] Compiling model...
[03:13:12] step    10/2000  ce 9.9088  lr 1.70e-04  |grad| 1.95  mem 61.1GB  tok/s 6,163
[03:14:54] step    20/2000  ce 7.9068  lr 3.40e-04  |grad| 0.88  mem 61.1GB  tok/s 6,310
[03:16:35] step    30/2000  ce 7.5341  lr 5.10e-04  |grad| 1.14  mem 61.1GB  tok/s 6,364
[03:18:16] step    40/2000  ce 7.2412  lr 6.80e-04  |grad| 0.78  mem 61.1GB  tok/s 6,389
[03:19:58] step    50/2000  ce 6.9396  lr 8.50e-04  |grad| 0.61  mem 61.1GB  tok/s 6,403
[03:21:39] step    60/2000  ce 6.7867  lr 1.02e-03  |grad| 0.69  mem 61.1GB  tok/s 6,414
[03:23:20] step    70/2000  ce 6.7934  lr 1.19e-03  |grad| 0.55  mem 61.1GB  tok/s 6,421
[03:25:02] step    80/2000  ce 6.5996  lr 1.36e-03  |grad| 0.82  mem 61.1GB  tok/s 6,426
[03:26:43] step    90/2000  ce 6.4364  lr 1.53e-03  |grad| 0.51  mem 61.1GB  tok/s 6,430
[03:28:25] step   100/2000  ce 6.4015  lr 1.70e-03  |grad| 0.96  mem 61.1GB  tok/s 6,433
[03:30:06] step   110/2000  ce 6.3500  lr 1.70e-03  |grad| 0.47  mem 61.1GB  tok/s 6,436
[03:31:47] step   120/2000  ce 6.2978  lr 1.70e-03  |grad| 0.45  mem 61.1GB  tok/s 6,438
[03:33:29] step   130/2000  ce 6.2999  lr 1.70e-03  |grad| 0.46  mem 61.1GB  tok/s 6,440
[03:35:10] step   140/2000  ce 6.1274  lr 1.70e-03  |grad| 0.41  mem 61.1GB  tok/s 6,442
[03:36:52] step   150/2000  ce 6.0892  lr 1.70e-03  |grad| 0.47  mem 61.1GB  tok/s 6,443
[03:38:33] step   160/2000  ce 5.9640  lr 1.70e-03  |grad| 0.50  mem 61.1GB  tok/s 6,444
