[00:11:50] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[00:11:50] optimizer split: 197 / 113 param tensors
[00:11:53]   loaded cached tokens from tokcache_133072000_300000_seed0_Qwen3-0.6B-Base.pt (133,072,000 train + 300,000 val)
[00:11:53] Compiling model...
[00:13:32] step    10/2000  ce 10.0997  lr 1.70e-04  |grad| 1.88  mem 57.4GB  tok/s 6,658
[00:15:07] step    20/2000  ce 8.0936  lr 3.40e-04  |grad| 0.91  mem 57.4GB  tok/s 6,803
[00:16:41] step    30/2000  ce 7.8773  lr 5.10e-04  |grad| 0.79  mem 57.4GB  tok/s 6,850
[00:18:15] step    40/2000  ce 7.5358  lr 6.80e-04  |grad| 0.66  mem 57.4GB  tok/s 6,874
[00:19:50] step    50/2000  ce 7.4426  lr 8.50e-04  |grad| 0.89  mem 57.4GB  tok/s 6,886
[00:21:24] step    60/2000  ce 7.2700  lr 1.02e-03  |grad| 0.63  mem 57.4GB  tok/s 6,893
[00:22:59] step    70/2000  ce 7.1886  lr 1.19e-03  |grad| 0.73  mem 57.4GB  tok/s 6,897
[00:24:34] step    80/2000  ce 7.0922  lr 1.36e-03  |grad| 0.74  mem 57.4GB  tok/s 6,901
[00:26:08] step    90/2000  ce 6.7936  lr 1.53e-03  |grad| 1.04  mem 57.4GB  tok/s 6,904
[00:27:43] step   100/2000  ce 6.8774  lr 1.70e-03  |grad| 0.79  mem 57.4GB  tok/s 6,907
[00:29:17] step   110/2000  ce 6.5977  lr 1.70e-03  |grad| 0.65  mem 57.4GB  tok/s 6,910
[00:30:52] step   120/2000  ce 6.4917  lr 1.70e-03  |grad| 0.60  mem 57.4GB  tok/s 6,911
[00:32:27] step   130/2000  ce 6.4803  lr 1.70e-03  |grad| 0.92  mem 57.4GB  tok/s 6,913
[00:34:01] step   140/2000  ce 6.3194  lr 1.70e-03  |grad| 0.48  mem 57.4GB  tok/s 6,914
