[16:21:16] ARM arch=faithful schedule=wsd optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[16:21:16] optimizer split: 197 / 113 param tensors
[16:21:19]   loaded cached tokens from tokcache_133072000_300000_seed0_Qwen3-0.6B-Base.pt (133,072,000 train + 300,000 val)
[16:21:19] Compiling model...
[16:22:59] step    10/2000  ce 10.0997  lr 1.70e-04  |grad| 1.88  mem 57.4GB  tok/s 6,638
[16:24:36] step    20/2000  ce 8.0935  lr 3.40e-04  |grad| 0.91  mem 57.4GB  tok/s 6,705
[16:26:12] step    30/2000  ce 7.8771  lr 5.10e-04  |grad| 0.80  mem 57.4GB  tok/s 6,725
[16:27:47] step    40/2000  ce 7.5359  lr 6.80e-04  |grad| 0.65  mem 57.4GB  tok/s 6,772
[16:29:22] step    50/2000  ce 7.4402  lr 8.50e-04  |grad| 0.93  mem 57.4GB  tok/s 6,800
[16:30:57] step    60/2000  ce 7.2719  lr 1.02e-03  |grad| 0.64  mem 57.4GB  tok/s 6,818
[16:32:32] step    70/2000  ce 7.1904  lr 1.19e-03  |grad| 0.62  mem 57.4GB  tok/s 6,831
[16:34:07] step    80/2000  ce 7.0910  lr 1.36e-03  |grad| 0.51  mem 57.4GB  tok/s 6,840
[16:35:41] step    90/2000  ce 6.8413  lr 1.53e-03  |grad| 0.81  mem 57.4GB  tok/s 6,848
[16:37:16] step   100/2000  ce 6.8679  lr 1.70e-03  |grad| 0.44  mem 57.4GB  tok/s 6,854
[16:38:51] step   110/2000  ce 6.6348  lr 1.70e-03  |grad| 0.83  mem 57.4GB  tok/s 6,858
[16:40:26] step   120/2000  ce 6.5318  lr 1.70e-03  |grad| 0.65  mem 57.4GB  tok/s 6,863
[16:42:01] step   130/2000  ce 6.4797  lr 1.70e-03  |grad| 0.94  mem 57.4GB  tok/s 6,866
[16:43:36] step   140/2000  ce 6.3422  lr 1.70e-03  |grad| 0.52  mem 57.4GB  tok/s 6,869
[16:45:11] step   150/2000  ce 6.3303  lr 1.70e-03  |grad| 0.81  mem 57.4GB  tok/s 6,872
[16:46:46] step   160/2000  ce 6.5517  lr 1.70e-03  |grad| 0.55  mem 57.4GB  tok/s 6,874
[16:48:21] step   170/2000  ce 6.0927  lr 1.70e-03  |grad| 0.55  mem 57.4GB  tok/s 6,876
[16:49:55] step   180/2000  ce 6.1586  lr 1.70e-03  |grad| 0.65  mem 57.4GB  tok/s 6,878
[16:51:30] step   190/2000  ce 6.1734  lr 1.70e-03  |grad| 0.57  mem 57.4GB  tok/s 6,879
[16:53:05] step   200/2000  ce 6.3010  lr 1.70e-03  |grad| 0.57  mem 57.4GB  tok/s 6,880
[16:54:40] step   210/2000  ce 5.8938  lr 1.70e-03  |grad| 0.41  mem 57.4GB  tok/s 6,882
[16:56:15] step   220/2000  ce 6.1689  lr 1.70e-03  |grad| 0.38  mem 57.4GB  tok/s 6,884
[16:57:49] step   230/2000  ce 5.9171  lr 1.70e-03  |grad| 0.54  mem 57.4GB  tok/s 6,885
[16:59:24] step   240/2000  ce 6.0978  lr 1.70e-03  |grad| 0.41  mem 57.4GB  tok/s 6,886
[17:00:59] step   250/2000  ce 5.8821  lr 1.70e-03  |grad| 0.32  mem 57.4GB  tok/s 6,887
[17:01:03]   [ckpt @ 250] -> checkpoint_wsd_seed2.pt
[17:02:38] step   260/2000  ce 5.7227  lr 1.70e-03  |grad| 0.34  mem 57.4GB  tok/s 6,878
[17:04:12] step   270/2000  ce 5.5204  lr 1.70e-03  |grad| 0.42  mem 57.4GB  tok/s 6,879
[17:05:47] step   280/2000  ce 5.7060  lr 1.70e-03  |grad| 0.46  mem 57.4GB  tok/s 6,880
[17:07:22] step   290/2000  ce 5.5358  lr 1.70e-03  |grad| 0.41  mem 57.4GB  tok/s 6,881
[17:08:57] step   300/2000  ce 5.8413  lr 1.70e-03  |grad| 0.43  mem 57.4GB  tok/s 6,882
[17:10:32] step   310/2000  ce 5.7202  lr 1.70e-03  |grad| 0.43  mem 57.4GB  tok/s 6,883
[17:12:07] step   320/2000  ce 5.3635  lr 1.70e-03  |grad| 0.38  mem 57.4GB  tok/s 6,884
[17:13:41] step   330/2000  ce 5.6308  lr 1.70e-03  |grad| 0.37  mem 57.4GB  tok/s 6,885
[17:15:16] step   340/2000  ce 5.7070  lr 1.70e-03  |grad| 0.38  mem 57.4GB  tok/s 6,885
[17:16:51] step   350/2000  ce 5.3017  lr 1.70e-03  |grad| 0.39  mem 57.4GB  tok/s 6,886
[17:18:26] step   360/2000  ce 5.4074  lr 1.70e-03  |grad| 0.35  mem 57.4GB  tok/s 6,887
[17:20:01] step   370/2000  ce 5.8372  lr 1.70e-03  |grad| 0.37  mem 57.4GB  tok/s 6,888
[17:21:35] step   380/2000  ce 5.4280  lr 1.70e-03  |grad| 0.37  mem 57.4GB  tok/s 6,889
[17:23:10] step   390/2000  ce 5.2013  lr 1.70e-03  |grad| 0.36  mem 57.4GB  tok/s 6,889
[17:24:45] step   400/2000  ce 5.2331  lr 1.70e-03  |grad| 0.31  mem 57.4GB  tok/s 6,890
[17:26:20] step   410/2000  ce 5.3320  lr 1.70e-03  |grad| 0.50  mem 57.4GB  tok/s 6,890
[17:27:55] step   420/2000  ce 5.1816  lr 1.70e-03  |grad| 0.39  mem 57.4GB  tok/s 6,891
[17:29:29] step   430/2000  ce 5.2308  lr 1.70e-03  |grad| 0.36  mem 57.4GB  tok/s 6,891
[17:31:04] step   440/2000  ce 5.3362  lr 1.70e-03  |grad| 0.34  mem 57.4GB  tok/s 6,892
[17:32:39] step   450/2000  ce 5.2695  lr 1.70e-03  |grad| 0.32  mem 57.4GB  tok/s 6,893
[17:34:14] step   460/2000  ce 5.1958  lr 1.70e-03  |grad| 0.40  mem 57.4GB  tok/s 6,893
[17:35:48] step   470/2000  ce 5.0399  lr 1.70e-03  |grad| 0.39  mem 57.4GB  tok/s 6,893
[17:37:23] step   480/2000  ce 5.0378  lr 1.70e-03  |grad| 0.32  mem 57.4GB  tok/s 6,894
[17:38:58] step   490/2000  ce 4.9478  lr 1.70e-03  |grad| 0.33  mem 57.4GB  tok/s 6,894
[17:40:33] step   500/2000  ce 4.9375  lr 1.70e-03  |grad| 0.31  mem 57.4GB  tok/s 6,894
[17:40:44]   [eval @ 500] val PPL=157.35
[17:40:47]   [ckpt @ 500] -> checkpoint_wsd_seed2.pt
[17:42:22] step   510/2000  ce 5.0590  lr 1.70e-03  |grad| 0.38  mem 57.4GB  tok/s 6,874
[17:43:57] step   520/2000  ce 5.0808  lr 1.70e-03  |grad| 0.37  mem 57.4GB  tok/s 6,875
[17:45:32] step   530/2000  ce 4.9230  lr 1.70e-03  |grad| 0.35  mem 57.4GB  tok/s 6,876
[17:47:06] step   540/2000  ce 4.9090  lr 1.70e-03  |grad| 0.33  mem 57.4GB  tok/s 6,877
[17:48:41] step   550/2000  ce 5.0236  lr 1.70e-03  |grad| 0.29  mem 57.4GB  tok/s 6,877
[17:50:16] step   560/2000  ce 4.9850  lr 1.70e-03  |grad| 0.31  mem 57.4GB  tok/s 6,878
[17:51:51] step   570/2000  ce 5.0052  lr 1.70e-03  |grad| 0.26  mem 57.4GB  tok/s 6,879
[17:53:26] step   580/2000  ce 4.8450  lr 1.70e-03  |grad| 0.27  mem 57.4GB  tok/s 6,879
[17:55:01] step   590/2000  ce 4.5686  lr 1.70e-03  |grad| 0.30  mem 57.4GB  tok/s 6,880
[17:56:35] step   600/2000  ce 4.8067  lr 1.70e-03  |grad| 0.33  mem 57.4GB  tok/s 6,880
[17:58:10] step   610/2000  ce 4.8643  lr 1.70e-03  |grad| 0.34  mem 57.4GB  tok/s 6,881
[17:59:45] step   620/2000  ce 4.6677  lr 1.70e-03  |grad| 0.31  mem 57.4GB  tok/s 6,881
[18:01:19] step   630/2000  ce 4.7890  lr 1.70e-03  |grad| 0.27  mem 57.4GB  tok/s 6,882
[18:02:54] step   640/2000  ce 4.8048  lr 1.70e-03  |grad| 0.27  mem 57.4GB  tok/s 6,883
[18:04:29] step   650/2000  ce 4.7471  lr 1.70e-03  |grad| 0.32  mem 57.4GB  tok/s 6,883
[18:06:04] step   660/2000  ce 4.8579  lr 1.70e-03  |grad| 0.32  mem 57.4GB  tok/s 6,883
[18:07:39] step   670/2000  ce 4.9479  lr 1.70e-03  |grad| 0.28  mem 57.4GB  tok/s 6,884
[18:09:14] step   680/2000  ce 4.8843  lr 1.70e-03  |grad| 0.35  mem 57.4GB  tok/s 6,884
[18:10:48] step   690/2000  ce 4.7320  lr 1.70e-03  |grad| 0.27  mem 57.4GB  tok/s 6,885
[18:12:23] step   700/2000  ce 4.8822  lr 1.70e-03  |grad| 0.32  mem 57.4GB  tok/s 6,885
[18:13:58] step   710/2000  ce 4.6601  lr 1.70e-03  |grad| 0.27  mem 57.4GB  tok/s 6,885
[18:15:33] step   720/2000  ce 4.5517  lr 1.70e-03  |grad| 0.24  mem 57.4GB  tok/s 6,886
[18:17:07] step   730/2000  ce 4.5629  lr 1.70e-03  |grad| 0.29  mem 57.4GB  tok/s 6,886
[18:18:42] step   740/2000  ce 4.5165  lr 1.70e-03  |grad| 0.26  mem 57.4GB  tok/s 6,887
[18:20:17] step   750/2000  ce 4.7244  lr 1.70e-03  |grad| 0.25  mem 57.4GB  tok/s 6,887
[18:20:20]   [ckpt @ 750] -> checkpoint_wsd_seed2.pt
[18:21:55] step   760/2000  ce 4.6211  lr 1.70e-03  |grad| 0.26  mem 57.4GB  tok/s 6,884
[18:23:30] step   770/2000  ce 4.4145  lr 1.70e-03  |grad| 0.26  mem 57.4GB  tok/s 6,885
[18:25:05] step   780/2000  ce 4.6598  lr 1.70e-03  |grad| 0.25  mem 57.4GB  tok/s 6,885
[18:26:40] step   790/2000  ce 4.3931  lr 1.70e-03  |grad| 0.24  mem 57.4GB  tok/s 6,885
[18:28:15] step   800/2000  ce 4.4115  lr 1.70e-03  |grad| 0.23  mem 57.4GB  tok/s 6,886
[18:29:49] step   810/2000  ce 4.5344  lr 1.70e-03  |grad| 0.26  mem 57.4GB  tok/s 6,886
[18:31:24] step   820/2000  ce 4.4290  lr 1.70e-03  |grad| 0.29  mem 57.4GB  tok/s 6,886
[18:32:59] step   830/2000  ce 4.6145  lr 1.70e-03  |grad| 0.26  mem 57.4GB  tok/s 6,886
[18:34:34] step   840/2000  ce 4.1827  lr 1.70e-03  |grad| 0.27  mem 57.4GB  tok/s 6,887
[18:36:09] step   850/2000  ce 4.6935  lr 1.70e-03  |grad| 0.26  mem 57.4GB  tok/s 6,887
[18:37:43] step   860/2000  ce 4.4888  lr 1.70e-03  |grad| 0.26  mem 57.4GB  tok/s 6,887
[18:39:18] step   870/2000  ce 4.6891  lr 1.70e-03  |grad| 0.22  mem 57.4GB  tok/s 6,888
[18:40:53] step   880/2000  ce 4.5702  lr 1.70e-03  |grad| 0.24  mem 57.4GB  tok/s 6,888
[18:42:28] step   890/2000  ce 4.3614  lr 1.70e-03  |grad| 0.27  mem 57.4GB  tok/s 6,888
[18:44:03] step   900/2000  ce 4.5806  lr 1.70e-03  |grad| 0.22  mem 57.4GB  tok/s 6,888
[18:45:37] step   910/2000  ce 4.2327  lr 1.70e-03  |grad| 0.27  mem 57.4GB  tok/s 6,889
