[safe_cuda] capped CUDA at 85% of 129 GB unified pool (~109 GB); over-allocation now errors cleanly.
[20:04:00] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=True hg=False | steps=2000 seed=1 tok/step=65,536
[20:04:00] optimizer split: 197 / 113 param tensors
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[20:04:03]   loaded cached tokens from tokcache_133072000_300000_seed0_Qwen3-0.6B-Base.pt (133,072,000 train + 300,000 val)
[20:04:03] Compiling model...
[20:05:43] step    10/2000  ce 9.9840  lr 1.70e-04  |grad| 1.95  mem 57.4GB  tok/s 6,637
[20:07:18] step    20/2000  ce 7.9845  lr 3.40e-04  |grad| 0.94  mem 57.4GB  tok/s 6,780
[20:08:52] step    30/2000  ce 7.7020  lr 5.10e-04  |grad| 2.33  mem 57.4GB  tok/s 6,827
[20:10:27] step    40/2000  ce 7.2383  lr 6.80e-04  |grad| 0.85  mem 57.4GB  tok/s 6,850
[20:12:02] step    50/2000  ce 6.8843  lr 8.50e-04  |grad| 0.69  mem 57.4GB  tok/s 6,862
[20:13:37] step    60/2000  ce 6.8832  lr 1.02e-03  |grad| 0.69  mem 57.4GB  tok/s 6,871
[20:15:11] step    70/2000  ce 6.8882  lr 1.19e-03  |grad| 0.84  mem 57.4GB  tok/s 6,876
[20:16:46] step    80/2000  ce 6.7983  lr 1.36e-03  |grad| 1.12  mem 57.4GB  tok/s 6,881
[20:18:21] step    90/2000  ce 6.4809  lr 1.53e-03  |grad| 0.47  mem 57.4GB  tok/s 6,884
[20:19:56] step   100/2000  ce 6.4588  lr 1.70e-03  |grad| 0.47  mem 57.4GB  tok/s 6,886
[20:21:31] step   110/2000  ce 6.5132  lr 1.70e-03  |grad| 0.61  mem 57.4GB  tok/s 6,888
[20:23:06] step   120/2000  ce 6.7412  lr 1.70e-03  |grad| 0.54  mem 57.4GB  tok/s 6,890
[20:24:41] step   130/2000  ce 6.1328  lr 1.70e-03  |grad| 0.59  mem 57.4GB  tok/s 6,891
[20:26:15] step   140/2000  ce 6.1867  lr 1.70e-03  |grad| 0.63  mem 57.4GB  tok/s 6,892
[20:27:50] step   150/2000  ce 6.1778  lr 1.70e-03  |grad| 0.53  mem 57.4GB  tok/s 6,893
[20:29:25] step   160/2000  ce 6.0178  lr 1.70e-03  |grad| 0.51  mem 57.4GB  tok/s 6,894
[20:31:00] step   170/2000  ce 6.1663  lr 1.70e-03  |grad| 0.52  mem 57.4GB  tok/s 6,895
[20:32:35] step   180/2000  ce 6.0467  lr 1.69e-03  |grad| 0.47  mem 57.4GB  tok/s 6,895
[20:34:10] step   190/2000  ce 5.9740  lr 1.69e-03  |grad| 0.61  mem 57.4GB  tok/s 6,896
[20:35:45] step   200/2000  ce 5.9231  lr 1.69e-03  |grad| 0.36  mem 57.4GB  tok/s 6,897
[20:37:20] step   210/2000  ce 5.8491  lr 1.69e-03  |grad| 0.41  mem 57.4GB  tok/s 6,897
[20:38:55] step   220/2000  ce 5.6278  lr 1.69e-03  |grad| 0.42  mem 57.4GB  tok/s 6,897
[20:40:30] step   230/2000  ce 5.7658  lr 1.68e-03  |grad| 0.42  mem 57.4GB  tok/s 6,898
[20:42:05] step   240/2000  ce 5.5457  lr 1.68e-03  |grad| 0.37  mem 57.4GB  tok/s 6,898
[20:43:39] step   250/2000  ce 5.9164  lr 1.68e-03  |grad| 0.42  mem 57.4GB  tok/s 6,898
[20:43:43]   [ckpt @ 250] -> checkpoint_ln_seed1.pt
[20:45:18] step   260/2000  ce 5.5499  lr 1.68e-03  |grad| 0.34  mem 57.4GB  tok/s 6,889
[20:46:53] step   270/2000  ce 5.3778  lr 1.67e-03  |grad| 0.43  mem 57.4GB  tok/s 6,890
[20:48:28] step   280/2000  ce 5.4499  lr 1.67e-03  |grad| 0.43  mem 57.4GB  tok/s 6,890
[20:50:03] step   290/2000  ce 5.4675  lr 1.67e-03  |grad| 0.34  mem 57.4GB  tok/s 6,890
[20:51:38] step   300/2000  ce 5.4819  lr 1.66e-03  |grad| 0.29  mem 57.4GB  tok/s 6,891
[20:53:12] step   310/2000  ce 5.5638  lr 1.66e-03  |grad| 0.36  mem 57.4GB  tok/s 6,891
[20:54:47] step   320/2000  ce 5.3227  lr 1.65e-03  |grad| 0.28  mem 57.4GB  tok/s 6,892
[20:56:22] step   330/2000  ce 5.1500  lr 1.65e-03  |grad| 0.36  mem 57.4GB  tok/s 6,892
[20:57:57] step   340/2000  ce 5.3414  lr 1.65e-03  |grad| 0.32  mem 57.4GB  tok/s 6,893
[20:59:32] step   350/2000  ce 5.2949  lr 1.64e-03  |grad| 0.35  mem 57.4GB  tok/s 6,893
[21:01:07] step   360/2000  ce 5.3545  lr 1.64e-03  |grad| 0.33  mem 57.4GB  tok/s 6,893
[21:02:42] step   370/2000  ce 5.3561  lr 1.63e-03  |grad| 0.29  mem 57.4GB  tok/s 6,894
[21:04:17] step   380/2000  ce 5.2603  lr 1.63e-03  |grad| 0.36  mem 57.4GB  tok/s 6,894
[21:05:52] step   390/2000  ce 5.2296  lr 1.62e-03  |grad| 0.28  mem 57.4GB  tok/s 6,894
[21:07:27] step   400/2000  ce 5.2410  lr 1.62e-03  |grad| 0.34  mem 57.4GB  tok/s 6,894
[21:09:02] step   410/2000  ce 4.8452  lr 1.61e-03  |grad| 0.33  mem 57.4GB  tok/s 6,894
[21:10:36] step   420/2000  ce 5.0270  lr 1.61e-03  |grad| 0.25  mem 57.4GB  tok/s 6,895
[21:12:11] step   430/2000  ce 5.1103  lr 1.60e-03  |grad| 0.28  mem 57.4GB  tok/s 6,895
[21:13:46] step   440/2000  ce 5.0419  lr 1.59e-03  |grad| 0.32  mem 57.4GB  tok/s 6,895
[21:15:21] step   450/2000  ce 4.9929  lr 1.59e-03  |grad| 0.30  mem 57.4GB  tok/s 6,895
[21:16:56] step   460/2000  ce 5.2729  lr 1.58e-03  |grad| 0.31  mem 57.4GB  tok/s 6,896
[21:18:31] step   470/2000  ce 4.9905  lr 1.57e-03  |grad| 0.29  mem 57.4GB  tok/s 6,896
[21:20:06] step   480/2000  ce 4.9737  lr 1.57e-03  |grad| 0.29  mem 57.4GB  tok/s 6,896
[21:21:40] step   490/2000  ce 4.9405  lr 1.56e-03  |grad| 0.33  mem 57.4GB  tok/s 6,897
[21:23:15] step   500/2000  ce 4.9269  lr 1.55e-03  |grad| 0.30  mem 57.4GB  tok/s 6,897
[21:23:26]   [eval @ 500] val PPL=121.28
[21:23:30]   [ckpt @ 500] -> checkpoint_ln_seed1.pt
[21:25:04] step   510/2000  ce 4.7625  lr 1.55e-03  |grad| 0.29  mem 57.4GB  tok/s 6,877
[21:26:39] step   520/2000  ce 4.7234  lr 1.54e-03  |grad| 0.27  mem 57.4GB  tok/s 6,878
[21:28:14] step   530/2000  ce 5.0194  lr 1.53e-03  |grad| 0.28  mem 57.4GB  tok/s 6,878
[21:29:49] step   540/2000  ce 4.5874  lr 1.53e-03  |grad| 0.26  mem 57.4GB  tok/s 6,879
[21:31:24] step   550/2000  ce 4.8238  lr 1.52e-03  |grad| 0.29  mem 57.4GB  tok/s 6,879
[21:32:58] step   560/2000  ce 4.5096  lr 1.51e-03  |grad| 0.30  mem 57.4GB  tok/s 6,880
[21:34:33] step   570/2000  ce 4.7324  lr 1.50e-03  |grad| 0.29  mem 57.4GB  tok/s 6,881
[21:36:08] step   580/2000  ce 4.4272  lr 1.49e-03  |grad| 0.27  mem 57.4GB  tok/s 6,881
[21:37:43] step   590/2000  ce 4.5205  lr 1.49e-03  |grad| 0.27  mem 57.4GB  tok/s 6,882
[21:39:18] step   600/2000  ce 4.9111  lr 1.48e-03  |grad| 0.25  mem 57.4GB  tok/s 6,882
[21:40:53] step   610/2000  ce 4.2782  lr 1.47e-03  |grad| 0.26  mem 57.4GB  tok/s 6,883
