[12:13:30] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=True | steps=2000 seed=1 tok/step=65,536
[12:13:31] optimizer split: 225 / 113 param tensors
[12:13:34]   loaded cached tokens from tokcache_133072000_300000_seed0_Qwen3-0.6B-Base.pt (133,072,000 train + 300,000 val)
[12:13:34] Compiling model...
[12:15:20] step    10/2000  ce 9.9672  lr 1.70e-04  |grad| 1.98  mem 59.3GB  tok/s 6,241
[12:16:59] step    20/2000  ce 8.0072  lr 3.40e-04  |grad| 0.85  mem 59.3GB  tok/s 6,426
[12:18:38] step    30/2000  ce 7.8206  lr 5.10e-04  |grad| 0.80  mem 59.3GB  tok/s 6,489
[12:20:17] step    40/2000  ce 7.6766  lr 6.80e-04  |grad| 0.73  mem 59.3GB  tok/s 6,519
[12:21:56] step    50/2000  ce 7.4232  lr 8.50e-04  |grad| 1.18  mem 59.3GB  tok/s 6,536
[12:23:35] step    60/2000  ce 7.2279  lr 1.02e-03  |grad| 1.34  mem 59.3GB  tok/s 6,548
[12:25:14] step    70/2000  ce 7.2828  lr 1.19e-03  |grad| 0.88  mem 59.3GB  tok/s 6,556
[12:26:54] step    80/2000  ce 6.9611  lr 1.36e-03  |grad| 0.54  mem 59.3GB  tok/s 6,562
[12:28:33] step    90/2000  ce 6.7614  lr 1.53e-03  |grad| 0.79  mem 59.3GB  tok/s 6,566
[12:30:12] step   100/2000  ce 6.7088  lr 1.70e-03  |grad| 0.59  mem 59.3GB  tok/s 6,570
[12:31:52] step   110/2000  ce 6.6276  lr 1.70e-03  |grad| 0.84  mem 59.3GB  tok/s 6,572
[12:33:31] step   120/2000  ce 6.5661  lr 1.70e-03  |grad| 0.66  mem 59.3GB  tok/s 6,575
[12:35:10] step   130/2000  ce 6.5397  lr 1.70e-03  |grad| 0.63  mem 59.3GB  tok/s 6,575
[12:36:50] step   140/2000  ce 6.3916  lr 1.70e-03  |grad| 0.47  mem 59.3GB  tok/s 6,577
[12:38:31] step   150/2000  ce 6.3751  lr 1.70e-03  |grad| 0.55  mem 59.3GB  tok/s 6,571
[12:40:10] step   160/2000  ce 6.2518  lr 1.70e-03  |grad| 0.49  mem 59.3GB  tok/s 6,573
[12:41:49] step   170/2000  ce 6.2905  lr 1.70e-03  |grad| 0.54  mem 59.3GB  tok/s 6,574
[12:43:29] step   180/2000  ce 6.1560  lr 1.69e-03  |grad| 0.40  mem 59.3GB  tok/s 6,576
[12:45:08] step   190/2000  ce 5.9631  lr 1.69e-03  |grad| 0.56  mem 59.3GB  tok/s 6,578
[12:46:47] step   200/2000  ce 6.0339  lr 1.69e-03  |grad| 0.38  mem 59.3GB  tok/s 6,578
[12:48:27] step   210/2000  ce 6.0638  lr 1.69e-03  |grad| 0.46  mem 59.3GB  tok/s 6,579
[12:50:06] step   220/2000  ce 5.9559  lr 1.69e-03  |grad| 0.40  mem 59.3GB  tok/s 6,580
[12:51:45] step   230/2000  ce 5.8921  lr 1.68e-03  |grad| 0.40  mem 59.3GB  tok/s 6,580
[12:53:25] step   240/2000  ce 5.6793  lr 1.68e-03  |grad| 0.34  mem 59.3GB  tok/s 6,581
[12:55:04] step   250/2000  ce 5.5772  lr 1.68e-03  |grad| 0.36  mem 59.3GB  tok/s 6,581
[12:55:08]   [ckpt @ 250] -> checkpoint_hg_seed1.pt
[12:56:47] step   260/2000  ce 5.8418  lr 1.68e-03  |grad| 0.37  mem 59.3GB  tok/s 6,573
[12:58:27] step   270/2000  ce 5.7920  lr 1.67e-03  |grad| 0.44  mem 59.3GB  tok/s 6,573
[13:00:06] step   280/2000  ce 5.3607  lr 1.67e-03  |grad| 0.42  mem 59.3GB  tok/s 6,574
[13:01:45] step   290/2000  ce 5.6887  lr 1.67e-03  |grad| 0.37  mem 59.3GB  tok/s 6,575
[13:03:25] step   300/2000  ce 5.4221  lr 1.66e-03  |grad| 0.39  mem 59.3GB  tok/s 6,576
[13:05:04] step   310/2000  ce 5.4771  lr 1.66e-03  |grad| 0.38  mem 59.3GB  tok/s 6,576
[13:06:44] step   320/2000  ce 5.5611  lr 1.65e-03  |grad| 0.35  mem 59.3GB  tok/s 6,576
[13:08:26] step   330/2000  ce 5.5608  lr 1.65e-03  |grad| 0.45  mem 59.3GB  tok/s 6,571
[13:10:06] step   340/2000  ce 5.1716  lr 1.65e-03  |grad| 0.39  mem 59.3GB  tok/s 6,571
[13:11:46] step   350/2000  ce 5.4009  lr 1.64e-03  |grad| 0.41  mem 59.3GB  tok/s 6,571
[13:13:25] step   360/2000  ce 5.6107  lr 1.64e-03  |grad| 0.39  mem 59.3GB  tok/s 6,571
[13:15:05] step   370/2000  ce 5.2148  lr 1.63e-03  |grad| 0.32  mem 59.3GB  tok/s 6,571
[13:16:44] step   380/2000  ce 5.3783  lr 1.63e-03  |grad| 0.38  mem 59.3GB  tok/s 6,571
[13:18:24] step   390/2000  ce 5.2776  lr 1.62e-03  |grad| 0.33  mem 59.3GB  tok/s 6,572
[13:20:04] step   400/2000  ce 5.3639  lr 1.62e-03  |grad| 0.34  mem 59.3GB  tok/s 6,572
[13:21:43] step   410/2000  ce 5.2748  lr 1.61e-03  |grad| 0.37  mem 59.3GB  tok/s 6,572
[13:23:23] step   420/2000  ce 5.1764  lr 1.61e-03  |grad| 0.55  mem 59.3GB  tok/s 6,573
[13:25:02] step   430/2000  ce 5.1306  lr 1.60e-03  |grad| 0.36  mem 59.3GB  tok/s 6,573
[13:26:42] step   440/2000  ce 4.9784  lr 1.59e-03  |grad| 0.32  mem 59.3GB  tok/s 6,572
[13:28:22] step   450/2000  ce 5.2298  lr 1.59e-03  |grad| 0.31  mem 59.3GB  tok/s 6,572
[13:30:02] step   460/2000  ce 5.0865  lr 1.58e-03  |grad| 0.33  mem 59.3GB  tok/s 6,572
[13:31:41] step   470/2000  ce 5.0910  lr 1.57e-03  |grad| 0.35  mem 59.3GB  tok/s 6,573
[13:33:21] step   480/2000  ce 5.0589  lr 1.57e-03  |grad| 0.29  mem 59.3GB  tok/s 6,573
[13:35:01] step   490/2000  ce 4.9740  lr 1.56e-03  |grad| 0.27  mem 59.3GB  tok/s 6,573
[13:36:41] step   500/2000  ce 4.7644  lr 1.55e-03  |grad| 0.31  mem 59.3GB  tok/s 6,572
[13:36:52]   [eval @ 500] val PPL=136.28
[13:36:56]   [ckpt @ 500] -> checkpoint_hg_seed1.pt
[13:38:36] step   510/2000  ce 5.0728  lr 1.55e-03  |grad| 0.27  mem 59.3GB  tok/s 6,553
[13:40:16] step   520/2000  ce 4.7905  lr 1.54e-03  |grad| 0.32  mem 59.3GB  tok/s 6,552
[13:41:56] step   530/2000  ce 4.7210  lr 1.53e-03  |grad| 0.29  mem 59.3GB  tok/s 6,552
[13:43:36] step   540/2000  ce 4.8266  lr 1.53e-03  |grad| 0.34  mem 59.3GB  tok/s 6,553
[13:45:16] step   550/2000  ce 4.8498  lr 1.52e-03  |grad| 0.28  mem 59.3GB  tok/s 6,553
[13:46:56] step   560/2000  ce 4.7303  lr 1.51e-03  |grad| 0.27  mem 59.3GB  tok/s 6,552
[13:48:36] step   570/2000  ce 4.9945  lr 1.50e-03  |grad| 0.32  mem 59.3GB  tok/s 6,552
[13:50:16] step   580/2000  ce 5.0066  lr 1.49e-03  |grad| 0.31  mem 59.3GB  tok/s 6,552
[13:51:56] step   590/2000  ce 4.7631  lr 1.49e-03  |grad| 0.30  mem 59.3GB  tok/s 6,552
[13:53:37] step   600/2000  ce 4.7064  lr 1.48e-03  |grad| 0.30  mem 59.3GB  tok/s 6,551
[13:55:17] step   610/2000  ce 4.6975  lr 1.47e-03  |grad| 0.28  mem 59.3GB  tok/s 6,551
[13:56:57] step   620/2000  ce 4.7409  lr 1.46e-03  |grad| 0.27  mem 59.3GB  tok/s 6,551
[13:58:38] step   630/2000  ce 4.5273  lr 1.45e-03  |grad| 0.27  mem 59.3GB  tok/s 6,550
[14:00:18] step   640/2000  ce 4.5230  lr 1.44e-03  |grad| 0.25  mem 59.3GB  tok/s 6,550
[14:01:59] step   650/2000  ce 4.6793  lr 1.43e-03  |grad| 0.27  mem 59.3GB  tok/s 6,549
[14:03:40] step   660/2000  ce 4.6788  lr 1.42e-03  |grad| 0.29  mem 59.3GB  tok/s 6,549
[14:05:20] step   670/2000  ce 4.5375  lr 1.42e-03  |grad| 0.27  mem 59.3GB  tok/s 6,548
[14:07:01] step   680/2000  ce 4.4682  lr 1.41e-03  |grad| 0.26  mem 59.3GB  tok/s 6,548
[14:08:41] step   690/2000  ce 4.2792  lr 1.40e-03  |grad| 0.27  mem 59.3GB  tok/s 6,548
[14:10:22] step   700/2000  ce 4.4577  lr 1.39e-03  |grad| 0.25  mem 59.3GB  tok/s 6,547
[14:12:03] step   710/2000  ce 4.4849  lr 1.38e-03  |grad| 0.25  mem 59.3GB  tok/s 6,546
[14:13:44] step   720/2000  ce 4.5734  lr 1.37e-03  |grad| 0.24  mem 59.3GB  tok/s 6,545
[14:15:25] step   730/2000  ce 4.7064  lr 1.36e-03  |grad| 0.29  mem 59.3GB  tok/s 6,545
[14:17:06] step   740/2000  ce 4.5246  lr 1.35e-03  |grad| 0.25  mem 59.3GB  tok/s 6,544
[14:18:47] step   750/2000  ce 4.4850  lr 1.34e-03  |grad| 0.25  mem 59.3GB  tok/s 6,543
[14:18:50]   [ckpt @ 750] -> checkpoint_hg_seed1.pt
[14:20:30] step   760/2000  ce 4.2213  lr 1.33e-03  |grad| 0.22  mem 59.3GB  tok/s 6,540
[14:22:11] step   770/2000  ce 4.5266  lr 1.32e-03  |grad| 0.25  mem 59.3GB  tok/s 6,540
