[14:45:08] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=True hg=False | steps=2000 seed=0 tok/step=65,536
[14:45:09] optimizer split: 197 / 113 param tensors
[14:45:11]   loaded cached tokens from tokcache_133072000_300000_seed0_Qwen3-0.6B-Base.pt (133,072,000 train + 300,000 val)
[14:45:11] Compiling model...
[14:47:16] step    10/2000  ce 10.0250  lr 1.70e-04  |grad| 1.99  mem 57.4GB  tok/s 5,295
[14:48:51] step    20/2000  ce 8.0859  lr 3.40e-04  |grad| 0.89  mem 57.4GB  tok/s 5,998
[14:50:25] step    30/2000  ce 7.6657  lr 5.10e-04  |grad| 1.48  mem 57.4GB  tok/s 6,279
[14:52:00] step    40/2000  ce 7.1697  lr 6.80e-04  |grad| 1.05  mem 57.4GB  tok/s 6,427
[14:53:35] step    50/2000  ce 7.1617  lr 8.50e-04  |grad| 0.71  mem 57.4GB  tok/s 6,519
[14:55:10] step    60/2000  ce 6.7560  lr 1.02e-03  |grad| 0.96  mem 57.4GB  tok/s 6,581
[14:56:45] step    70/2000  ce 6.6793  lr 1.19e-03  |grad| 0.64  mem 57.4GB  tok/s 6,626
[14:58:19] step    80/2000  ce 6.7368  lr 1.36e-03  |grad| 0.57  mem 57.4GB  tok/s 6,662
[14:59:54] step    90/2000  ce 6.5239  lr 1.53e-03  |grad| 0.73  mem 57.4GB  tok/s 6,688
[15:01:29] step   100/2000  ce 6.5883  lr 1.70e-03  |grad| 0.55  mem 57.4GB  tok/s 6,708
[15:03:04] step   110/2000  ce 6.2681  lr 1.70e-03  |grad| 0.63  mem 57.4GB  tok/s 6,726
[15:04:39] step   120/2000  ce 6.3020  lr 1.70e-03  |grad| 0.64  mem 57.4GB  tok/s 6,741
[15:06:14] step   130/2000  ce 6.3590  lr 1.70e-03  |grad| 0.61  mem 57.4GB  tok/s 6,753
[15:07:49] step   140/2000  ce 6.2335  lr 1.70e-03  |grad| 0.50  mem 57.4GB  tok/s 6,764
[15:09:24] step   150/2000  ce 6.1383  lr 1.70e-03  |grad| 0.44  mem 57.4GB  tok/s 6,773
[15:10:59] step   160/2000  ce 5.9102  lr 1.70e-03  |grad| 0.52  mem 57.4GB  tok/s 6,781
[15:12:34] step   170/2000  ce 5.9144  lr 1.70e-03  |grad| 0.52  mem 57.4GB  tok/s 6,788
[15:14:08] step   180/2000  ce 6.1304  lr 1.69e-03  |grad| 0.44  mem 57.4GB  tok/s 6,795
[15:15:43] step   190/2000  ce 5.5995  lr 1.69e-03  |grad| 0.48  mem 57.4GB  tok/s 6,800
[15:17:20] step   200/2000  ce 5.6485  lr 1.69e-03  |grad| 0.46  mem 57.4GB  tok/s 6,800
[15:19:00] step   210/2000  ce 5.8190  lr 1.69e-03  |grad| 0.51  mem 57.4GB  tok/s 6,788
[15:20:42] step   220/2000  ce 5.4406  lr 1.69e-03  |grad| 0.39  mem 57.4GB  tok/s 6,771
[15:22:23] step   230/2000  ce 5.9280  lr 1.68e-03  |grad| 0.39  mem 57.4GB  tok/s 6,756
[15:24:04] step   240/2000  ce 5.5616  lr 1.68e-03  |grad| 0.36  mem 57.4GB  tok/s 6,746
[15:25:39] step   250/2000  ce 5.3635  lr 1.68e-03  |grad| 0.44  mem 57.4GB  tok/s 6,752
[15:25:42]   [ckpt @ 250] -> checkpoint_ln_seed0.pt
[15:27:17] step   260/2000  ce 5.7098  lr 1.68e-03  |grad| 0.35  mem 57.4GB  tok/s 6,749
[15:28:52] step   270/2000  ce 5.5169  lr 1.67e-03  |grad| 0.46  mem 57.4GB  tok/s 6,754
[15:30:27] step   280/2000  ce 5.6142  lr 1.67e-03  |grad| 0.39  mem 57.4GB  tok/s 6,760
[15:32:03] step   290/2000  ce 5.4276  lr 1.67e-03  |grad| 0.40  mem 57.4GB  tok/s 6,761
[15:33:41] step   300/2000  ce 5.2895  lr 1.66e-03  |grad| 0.36  mem 57.4GB  tok/s 6,759
[15:35:19] step   310/2000  ce 5.4631  lr 1.66e-03  |grad| 0.33  mem 57.4GB  tok/s 6,758
[15:36:54] step   320/2000  ce 5.3225  lr 1.65e-03  |grad| 0.29  mem 57.4GB  tok/s 6,761
[15:38:29] step   330/2000  ce 5.2424  lr 1.65e-03  |grad| 0.29  mem 57.4GB  tok/s 6,766
[15:40:03] step   340/2000  ce 5.0721  lr 1.65e-03  |grad| 0.30  mem 57.4GB  tok/s 6,770
[15:41:38] step   350/2000  ce 5.0869  lr 1.64e-03  |grad| 0.33  mem 57.4GB  tok/s 6,774
[15:43:14] step   360/2000  ce 5.1264  lr 1.64e-03  |grad| 0.32  mem 57.4GB  tok/s 6,776
[15:44:51] step   370/2000  ce 5.2960  lr 1.63e-03  |grad| 0.39  mem 57.4GB  tok/s 6,775
[15:46:29] step   380/2000  ce 5.3865  lr 1.63e-03  |grad| 0.35  mem 57.4GB  tok/s 6,773
[15:48:07] step   390/2000  ce 5.0436  lr 1.62e-03  |grad| 0.32  mem 57.4GB  tok/s 6,771
[15:49:43] step   400/2000  ce 5.1634  lr 1.62e-03  |grad| 0.34  mem 57.4GB  tok/s 6,773
[15:51:17] step   410/2000  ce 5.2321  lr 1.61e-03  |grad| 0.26  mem 57.4GB  tok/s 6,777
[15:52:52] step   420/2000  ce 4.9536  lr 1.61e-03  |grad| 0.31  mem 57.4GB  tok/s 6,780
[15:54:27] step   430/2000  ce 4.8936  lr 1.60e-03  |grad| 0.27  mem 57.4GB  tok/s 6,783
[15:56:02] step   440/2000  ce 4.9766  lr 1.59e-03  |grad| 0.29  mem 57.4GB  tok/s 6,786
[15:57:36] step   450/2000  ce 4.6073  lr 1.59e-03  |grad| 0.28  mem 57.4GB  tok/s 6,789
[15:59:11] step   460/2000  ce 4.8079  lr 1.58e-03  |grad| 0.26  mem 57.4GB  tok/s 6,791
[16:00:46] step   470/2000  ce 4.6426  lr 1.57e-03  |grad| 0.26  mem 57.4GB  tok/s 6,794
[16:02:21] step   480/2000  ce 4.7387  lr 1.57e-03  |grad| 0.29  mem 57.4GB  tok/s 6,796
[16:03:56] step   490/2000  ce 4.9643  lr 1.56e-03  |grad| 0.28  mem 57.4GB  tok/s 6,799
[16:05:31] step   500/2000  ce 4.8360  lr 1.55e-03  |grad| 0.28  mem 57.4GB  tok/s 6,801
[16:05:51]   [eval @ 500] val PPL=117.91
[16:05:55]   [ckpt @ 500] -> checkpoint_ln_seed0.pt
[16:07:30] step   510/2000  ce 4.7846  lr 1.55e-03  |grad| 0.25  mem 57.4GB  tok/s 6,769
[16:09:05] step   520/2000  ce 4.7485  lr 1.54e-03  |grad| 0.28  mem 57.4GB  tok/s 6,772
[16:10:40] step   530/2000  ce 4.7237  lr 1.53e-03  |grad| 0.29  mem 57.4GB  tok/s 6,774
[16:12:14] step   540/2000  ce 4.7666  lr 1.53e-03  |grad| 0.30  mem 57.4GB  tok/s 6,777
[16:13:49] step   550/2000  ce 4.9389  lr 1.52e-03  |grad| 0.25  mem 57.4GB  tok/s 6,779
[16:15:24] step   560/2000  ce 4.5372  lr 1.51e-03  |grad| 0.25  mem 57.4GB  tok/s 6,781
[16:16:59] step   570/2000  ce 4.5419  lr 1.50e-03  |grad| 0.24  mem 57.4GB  tok/s 6,783
[16:18:34] step   580/2000  ce 4.4733  lr 1.49e-03  |grad| 0.27  mem 57.4GB  tok/s 6,786
[16:20:09] step   590/2000  ce 4.5776  lr 1.49e-03  |grad| 0.28  mem 57.4GB  tok/s 6,788
[16:21:44] step   600/2000  ce 4.4939  lr 1.48e-03  |grad| 0.23  mem 57.4GB  tok/s 6,790
[16:23:18] step   610/2000  ce 4.6116  lr 1.47e-03  |grad| 0.24  mem 57.4GB  tok/s 6,792
[16:24:54] step   620/2000  ce 4.3845  lr 1.46e-03  |grad| 0.22  mem 57.4GB  tok/s 6,793
[16:26:29] step   630/2000  ce 4.4253  lr 1.45e-03  |grad| 0.25  mem 57.4GB  tok/s 6,795
[16:28:03] step   640/2000  ce 4.3025  lr 1.44e-03  |grad| 0.22  mem 57.4GB  tok/s 6,797
[16:29:38] step   650/2000  ce 4.3524  lr 1.43e-03  |grad| 0.25  mem 57.4GB  tok/s 6,798
[16:31:13] step   660/2000  ce 4.5201  lr 1.42e-03  |grad| 0.25  mem 57.4GB  tok/s 6,800
[16:32:48] step   670/2000  ce 4.3624  lr 1.42e-03  |grad| 0.22  mem 57.4GB  tok/s 6,802
[16:34:23] step   680/2000  ce 4.4765  lr 1.41e-03  |grad| 0.26  mem 57.4GB  tok/s 6,803
[16:35:58] step   690/2000  ce 4.5840  lr 1.40e-03  |grad| 0.37  mem 57.4GB  tok/s 6,805
[16:37:32] step   700/2000  ce 4.3696  lr 1.39e-03  |grad| 0.23  mem 57.4GB  tok/s 6,806
[16:39:07] step   710/2000  ce 4.4557  lr 1.38e-03  |grad| 0.24  mem 57.4GB  tok/s 6,808
[16:40:42] step   720/2000  ce 4.4513  lr 1.37e-03  |grad| 0.25  mem 57.4GB  tok/s 6,809
[16:42:17] step   730/2000  ce 4.1667  lr 1.36e-03  |grad| 0.24  mem 57.4GB  tok/s 6,810
[16:43:52] step   740/2000  ce 4.4950  lr 1.35e-03  |grad| 0.26  mem 57.4GB  tok/s 6,812
[16:45:26] step   750/2000  ce 4.5208  lr 1.34e-03  |grad| 0.33  mem 57.4GB  tok/s 6,813
[16:45:30]   [ckpt @ 750] -> checkpoint_ln_seed0.pt
[16:47:05] step   760/2000  ce 4.4108  lr 1.33e-03  |grad| 0.24  mem 57.4GB  tok/s 6,811
[16:48:40] step   770/2000  ce 4.3713  lr 1.32e-03  |grad| 0.24  mem 57.4GB  tok/s 6,812
[16:50:15] step   780/2000  ce 4.2593  lr 1.31e-03  |grad| 0.22  mem 57.4GB  tok/s 6,814
[16:51:49] step   790/2000  ce 4.2730  lr 1.30e-03  |grad| 0.22  mem 57.4GB  tok/s 6,815
[16:53:24] step   800/2000  ce 4.3350  lr 1.29e-03  |grad| 0.23  mem 57.4GB  tok/s 6,816
[16:54:59] step   810/2000  ce 4.8192  lr 1.28e-03  |grad| 0.22  mem 57.4GB  tok/s 6,817
[16:56:34] step   820/2000  ce 4.2105  lr 1.27e-03  |grad| 0.27  mem 57.4GB  tok/s 6,818
[16:58:09] step   830/2000  ce 4.4321  lr 1.26e-03  |grad| 0.23  mem 57.4GB  tok/s 6,819
[16:59:44] step   840/2000  ce 4.3533  lr 1.24e-03  |grad| 0.25  mem 57.4GB  tok/s 6,820
[17:01:18] step   850/2000  ce 4.1108  lr 1.23e-03  |grad| 0.25  mem 57.4GB  tok/s 6,822
[17:02:53] step   860/2000  ce 4.1772  lr 1.22e-03  |grad| 0.21  mem 57.4GB  tok/s 6,823
[17:04:28] step   870/2000  ce 4.3758  lr 1.21e-03  |grad| 0.22  mem 57.4GB  tok/s 6,824
[17:06:03] step   880/2000  ce 4.2590  lr 1.20e-03  |grad| 0.23  mem 57.4GB  tok/s 6,824
[17:07:38] step   890/2000  ce 4.3606  lr 1.19e-03  |grad| 0.21  mem 57.4GB  tok/s 6,826
[17:09:12] step   900/2000  ce 4.1403  lr 1.18e-03  |grad| 0.20  mem 57.4GB  tok/s 6,826
[17:10:47] step   910/2000  ce 4.4265  lr 1.17e-03  |grad| 0.23  mem 57.4GB  tok/s 6,827
[17:12:22] step   920/2000  ce 4.3025  lr 1.16e-03  |grad| 0.20  mem 57.4GB  tok/s 6,828
