[03:47:10] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=True ln=False hg=False | steps=2000 seed=1 tok/step=65,536
[03:47:11] optimizer split: 197 / 197 param tensors
[03:47:14]   loaded cached tokens from tokcache_133072000_300000_seed0_Qwen3-0.6B-Base.pt (133,072,000 train + 300,000 val)
[03:47:14] Compiling model...
[03:48:56] step    10/2000  ce 10.0066  lr 1.70e-04  |grad| 1.92  mem 59.2GB  tok/s 6,456
[03:50:33] step    20/2000  ce 8.0308  lr 3.40e-04  |grad| 0.96  mem 59.2GB  tok/s 6,605
[03:52:10] step    30/2000  ce 7.9149  lr 5.10e-04  |grad| 0.85  mem 59.2GB  tok/s 6,655
[03:53:47] step    40/2000  ce 7.6153  lr 6.80e-04  |grad| 0.65  mem 59.2GB  tok/s 6,681
[03:55:24] step    50/2000  ce 7.3806  lr 8.50e-04  |grad| 1.38  mem 59.2GB  tok/s 6,695
[03:57:01] step    60/2000  ce 7.2785  lr 1.02e-03  |grad| 0.89  mem 59.2GB  tok/s 6,703
[03:58:38] step    70/2000  ce 7.2852  lr 1.19e-03  |grad| 1.05  mem 59.2GB  tok/s 6,709
[04:00:15] step    80/2000  ce 7.0658  lr 1.36e-03  |grad| 0.61  mem 59.2GB  tok/s 6,714
[04:01:52] step    90/2000  ce 6.7990  lr 1.53e-03  |grad| 0.71  mem 59.2GB  tok/s 6,718
[04:03:30] step   100/2000  ce 6.7426  lr 1.70e-03  |grad| 0.68  mem 59.2GB  tok/s 6,720
[04:05:07] step   110/2000  ce 6.7724  lr 1.70e-03  |grad| 0.64  mem 59.2GB  tok/s 6,723
[04:06:44] step   120/2000  ce 7.0227  lr 1.70e-03  |grad| 0.47  mem 59.2GB  tok/s 6,724
[04:08:21] step   130/2000  ce 6.3850  lr 1.70e-03  |grad| 0.45  mem 59.2GB  tok/s 6,725
[04:09:58] step   140/2000  ce 6.4533  lr 1.70e-03  |grad| 0.72  mem 59.2GB  tok/s 6,726
[04:11:36] step   150/2000  ce 6.4696  lr 1.70e-03  |grad| 0.44  mem 59.2GB  tok/s 6,727
[04:13:13] step   160/2000  ce 6.3299  lr 1.70e-03  |grad| 0.77  mem 59.2GB  tok/s 6,729
[04:14:50] step   170/2000  ce 6.4854  lr 1.70e-03  |grad| 0.69  mem 59.2GB  tok/s 6,730
[04:16:27] step   180/2000  ce 6.3597  lr 1.69e-03  |grad| 0.58  mem 59.2GB  tok/s 6,730
