[04:41:13] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[04:41:14] optimizer split: 197 / 113 param tensors
[04:41:17] DATA=dclm-edu: 150,107,480 train + 300,000 val tokens (shards 4)
[04:41:17] Compiling model...
[04:42:56] step    10/2000  ce 10.0053  lr 1.70e-04  |grad| 1.83  mem 57.4GB  tok/s 6,664
[04:44:30] step    20/2000  ce 8.5187  lr 3.40e-04  |grad| 1.13  mem 57.4GB  tok/s 6,799
[04:46:05] step    30/2000  ce 7.7635  lr 5.10e-04  |grad| 0.90  mem 57.4GB  tok/s 6,845
[04:47:40] step    40/2000  ce 7.7648  lr 6.80e-04  |grad| 0.73  mem 57.4GB  tok/s 6,864
[04:49:14] step    50/2000  ce 7.6036  lr 8.50e-04  |grad| 0.73  mem 57.4GB  tok/s 6,875
[04:50:49] step    60/2000  ce 7.4388  lr 1.02e-03  |grad| 0.76  mem 57.4GB  tok/s 6,882
[04:52:24] step    70/2000  ce 7.4597  lr 1.19e-03  |grad| 1.31  mem 57.4GB  tok/s 6,886
[04:53:59] step    80/2000  ce 7.0436  lr 1.36e-03  |grad| 0.79  mem 57.4GB  tok/s 6,890
[04:55:33] step    90/2000  ce 6.7483  lr 1.53e-03  |grad| 0.73  mem 57.4GB  tok/s 6,892
[04:57:08] step   100/2000  ce 6.8501  lr 1.70e-03  |grad| 0.67  mem 57.4GB  tok/s 6,895
[04:58:43] step   110/2000  ce 6.4401  lr 1.70e-03  |grad| 0.56  mem 57.4GB  tok/s 6,896
[05:00:18] step   120/2000  ce 6.6521  lr 1.70e-03  |grad| 0.70  mem 57.4GB  tok/s 6,897
[05:01:53] step   130/2000  ce 6.5239  lr 1.70e-03  |grad| 0.51  mem 57.4GB  tok/s 6,898
[05:03:27] step   140/2000  ce 6.6139  lr 1.70e-03  |grad| 0.71  mem 57.4GB  tok/s 6,900
[05:05:02] step   150/2000  ce 6.4274  lr 1.70e-03  |grad| 0.61  mem 57.4GB  tok/s 6,901
[05:06:37] step   160/2000  ce 6.5126  lr 1.70e-03  |grad| 0.47  mem 57.4GB  tok/s 6,902
[05:08:12] step   170/2000  ce 6.3887  lr 1.70e-03  |grad| 0.43  mem 57.4GB  tok/s 6,903
[05:09:47] step   180/2000  ce 6.6861  lr 1.69e-03  |grad| 0.45  mem 57.4GB  tok/s 6,903
[05:11:21] step   190/2000  ce 6.3236  lr 1.69e-03  |grad| 0.79  mem 57.4GB  tok/s 6,903
[05:12:56] step   200/2000  ce 6.3204  lr 1.69e-03  |grad| 0.44  mem 57.4GB  tok/s 6,904
[05:14:31] step   210/2000  ce 6.1384  lr 1.69e-03  |grad| 0.44  mem 57.4GB  tok/s 6,905
[05:16:06] step   220/2000  ce 6.0969  lr 1.69e-03  |grad| 0.39  mem 57.4GB  tok/s 6,906
[05:17:40] step   230/2000  ce 5.9750  lr 1.68e-03  |grad| 0.56  mem 57.4GB  tok/s 6,906
