[17:23:31] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=0 tok/step=65,536
[17:23:31] optimizer split: 197 / 113 param tensors
[17:23:34]   loaded cached tokens from tokcache_66036000_300000_seed0_Qwen3-0.6B-Base.pt (66,036,000 train + 300,000 val)
[17:23:34] DATA=mix(50/50 dclm+FineWeb): 132,072,000 train (66,036,000 dclm + 66,036,000 fw) + 300,000 val
[17:23:34] Compiling model...
[17:25:15] step    10/2000  ce 10.1835  lr 1.70e-04  |grad| 2.03  mem 57.4GB  tok/s 6,591
[17:26:49] step    20/2000  ce 8.2603  lr 3.40e-04  |grad| 0.92  mem 57.4GB  tok/s 6,753
[17:28:24] step    30/2000  ce 8.0083  lr 5.10e-04  |grad| 0.90  mem 57.4GB  tok/s 6,814
[17:29:59] step    40/2000  ce 7.7649  lr 6.80e-04  |grad| 0.63  mem 57.4GB  tok/s 6,840
[17:31:34] step    50/2000  ce 7.5067  lr 8.50e-04  |grad| 1.80  mem 57.4GB  tok/s 6,853
[17:33:09] step    60/2000  ce 7.4419  lr 1.02e-03  |grad| 0.76  mem 57.4GB  tok/s 6,860
[17:34:44] step    70/2000  ce 7.4910  lr 1.19e-03  |grad| 0.85  mem 57.4GB  tok/s 6,866
[17:36:18] step    80/2000  ce 7.0836  lr 1.36e-03  |grad| 0.91  mem 57.4GB  tok/s 6,871
[17:37:53] step    90/2000  ce 7.0071  lr 1.53e-03  |grad| 0.84  mem 57.4GB  tok/s 6,876
[17:39:28] step   100/2000  ce 6.6340  lr 1.70e-03  |grad| 0.73  mem 57.4GB  tok/s 6,878
[17:41:03] step   110/2000  ce 7.0752  lr 1.70e-03  |grad| 0.50  mem 57.4GB  tok/s 6,880
[17:42:38] step   120/2000  ce 6.7134  lr 1.70e-03  |grad| 0.62  mem 57.4GB  tok/s 6,883
[17:44:13] step   130/2000  ce 6.4809  lr 1.70e-03  |grad| 0.55  mem 57.4GB  tok/s 6,885
[17:45:48] step   140/2000  ce 6.7778  lr 1.70e-03  |grad| 0.71  mem 57.4GB  tok/s 6,886
[17:47:23] step   150/2000  ce 6.3892  lr 1.70e-03  |grad| 0.57  mem 57.4GB  tok/s 6,888
[17:48:58] step   160/2000  ce 6.3902  lr 1.70e-03  |grad| 0.69  mem 57.4GB  tok/s 6,889
[17:50:32] step   170/2000  ce 6.2530  lr 1.70e-03  |grad| 0.51  mem 57.4GB  tok/s 6,890
[17:52:07] step   180/2000  ce 6.1945  lr 1.69e-03  |grad| 0.66  mem 57.4GB  tok/s 6,890
[17:53:43] step   190/2000  ce 6.6006  lr 1.69e-03  |grad| 0.65  mem 57.4GB  tok/s 6,890
[17:55:17] step   200/2000  ce 6.0343  lr 1.69e-03  |grad| 0.44  mem 57.4GB  tok/s 6,891
[17:56:52] step   210/2000  ce 6.4568  lr 1.69e-03  |grad| 0.58  mem 57.4GB  tok/s 6,892
[17:58:27] step   220/2000  ce 6.0859  lr 1.69e-03  |grad| 0.44  mem 57.4GB  tok/s 6,893
[18:00:02] step   230/2000  ce 6.0523  lr 1.68e-03  |grad| 0.49  mem 57.4GB  tok/s 6,893
[18:01:37] step   240/2000  ce 6.2225  lr 1.68e-03  |grad| 0.36  mem 57.4GB  tok/s 6,894
[18:03:12] step   250/2000  ce 6.1205  lr 1.68e-03  |grad| 0.41  mem 57.4GB  tok/s 6,895
[18:03:15]   [ckpt @ 250] -> checkpoint_mix_seed0.pt
[18:04:50] step   260/2000  ce 5.9072  lr 1.68e-03  |grad| 0.39  mem 57.4GB  tok/s 6,884
[18:06:25] step   270/2000  ce 6.1366  lr 1.67e-03  |grad| 0.41  mem 57.4GB  tok/s 6,886
[18:08:00] step   280/2000  ce 5.7735  lr 1.67e-03  |grad| 0.46  mem 57.4GB  tok/s 6,886
[18:09:35] step   290/2000  ce 5.8558  lr 1.67e-03  |grad| 0.32  mem 57.4GB  tok/s 6,887
[18:11:10] step   300/2000  ce 6.0367  lr 1.66e-03  |grad| 0.49  mem 57.4GB  tok/s 6,888
[18:12:45] step   310/2000  ce 5.7121  lr 1.66e-03  |grad| 0.39  mem 57.4GB  tok/s 6,888
[18:14:20] step   320/2000  ce 5.7367  lr 1.65e-03  |grad| 0.32  mem 57.4GB  tok/s 6,889
[18:15:55] step   330/2000  ce 5.5801  lr 1.65e-03  |grad| 0.48  mem 57.4GB  tok/s 6,889
[18:17:29] step   340/2000  ce 6.0057  lr 1.65e-03  |grad| 0.37  mem 57.4GB  tok/s 6,890
[18:19:05] step   350/2000  ce 5.7315  lr 1.64e-03  |grad| 0.35  mem 57.4GB  tok/s 6,890
[18:20:39] step   360/2000  ce 6.0180  lr 1.64e-03  |grad| 0.30  mem 57.4GB  tok/s 6,890
[18:22:14] step   370/2000  ce 5.5656  lr 1.63e-03  |grad| 0.39  mem 57.4GB  tok/s 6,891
[18:23:49] step   380/2000  ce 5.5297  lr 1.63e-03  |grad| 0.35  mem 57.4GB  tok/s 6,891
[18:25:24] step   390/2000  ce 5.4884  lr 1.62e-03  |grad| 0.37  mem 57.4GB  tok/s 6,891
[18:26:59] step   400/2000  ce 5.4035  lr 1.62e-03  |grad| 0.39  mem 57.4GB  tok/s 6,892
[18:28:34] step   410/2000  ce 5.2746  lr 1.61e-03  |grad| 0.36  mem 57.4GB  tok/s 6,892
[18:30:09] step   420/2000  ce 5.3912  lr 1.61e-03  |grad| 0.40  mem 57.4GB  tok/s 6,892
[18:31:44] step   430/2000  ce 5.3540  lr 1.60e-03  |grad| 0.42  mem 57.4GB  tok/s 6,893
[18:33:19] step   440/2000  ce 5.4776  lr 1.59e-03  |grad| 0.33  mem 57.4GB  tok/s 6,893
[18:34:54] step   450/2000  ce 5.1912  lr 1.59e-03  |grad| 0.31  mem 57.4GB  tok/s 6,893
[18:36:29] step   460/2000  ce 5.2058  lr 1.58e-03  |grad| 0.36  mem 57.4GB  tok/s 6,893
[18:38:04] step   470/2000  ce 5.2382  lr 1.57e-03  |grad| 0.36  mem 57.4GB  tok/s 6,894
[18:39:38] step   480/2000  ce 5.3338  lr 1.57e-03  |grad| 0.26  mem 57.4GB  tok/s 6,894
[18:41:13] step   490/2000  ce 5.2100  lr 1.56e-03  |grad| 0.31  mem 57.4GB  tok/s 6,894
[18:42:48] step   500/2000  ce 5.0081  lr 1.55e-03  |grad| 0.27  mem 57.4GB  tok/s 6,895
[18:42:59]   [eval @ 500] val PPL=167.89
[18:43:02]   [ckpt @ 500] -> checkpoint_mix_seed0.pt
[18:44:37] step   510/2000  ce 4.9437  lr 1.55e-03  |grad| 0.36  mem 57.4GB  tok/s 6,874
[18:46:12] step   520/2000  ce 5.1969  lr 1.54e-03  |grad| 0.28  mem 57.4GB  tok/s 6,875
[18:47:47] step   530/2000  ce 5.2282  lr 1.53e-03  |grad| 0.35  mem 57.4GB  tok/s 6,876
[18:49:22] step   540/2000  ce 5.2750  lr 1.53e-03  |grad| 0.29  mem 57.4GB  tok/s 6,876
[18:50:57] step   550/2000  ce 5.0712  lr 1.52e-03  |grad| 0.29  mem 57.4GB  tok/s 6,877
[18:52:32] step   560/2000  ce 4.8195  lr 1.51e-03  |grad| 0.28  mem 57.4GB  tok/s 6,877
[18:54:06] step   570/2000  ce 4.9540  lr 1.50e-03  |grad| 0.31  mem 57.4GB  tok/s 6,878
[18:55:41] step   580/2000  ce 5.0295  lr 1.49e-03  |grad| 0.29  mem 57.4GB  tok/s 6,879
[18:57:16] step   590/2000  ce 5.3081  lr 1.49e-03  |grad| 0.30  mem 57.4GB  tok/s 6,879
[18:58:51] step   600/2000  ce 5.4206  lr 1.48e-03  |grad| 0.29  mem 57.4GB  tok/s 6,879
[19:00:26] step   610/2000  ce 4.8453  lr 1.47e-03  |grad| 0.29  mem 57.4GB  tok/s 6,880
[19:02:01] step   620/2000  ce 4.9859  lr 1.46e-03  |grad| 0.25  mem 57.4GB  tok/s 6,880
[19:03:36] step   630/2000  ce 5.0648  lr 1.45e-03  |grad| 0.32  mem 57.4GB  tok/s 6,881
[19:05:11] step   640/2000  ce 4.9458  lr 1.44e-03  |grad| 0.27  mem 57.4GB  tok/s 6,881
[19:06:45] step   650/2000  ce 4.8834  lr 1.43e-03  |grad| 0.29  mem 57.4GB  tok/s 6,882
[19:08:20] step   660/2000  ce 4.7817  lr 1.42e-03  |grad| 0.29  mem 57.4GB  tok/s 6,882
[19:09:55] step   670/2000  ce 4.7946  lr 1.42e-03  |grad| 0.27  mem 57.4GB  tok/s 6,883
[19:11:30] step   680/2000  ce 4.6514  lr 1.41e-03  |grad| 0.27  mem 57.4GB  tok/s 6,883
[19:13:05] step   690/2000  ce 4.6699  lr 1.40e-03  |grad| 0.32  mem 57.4GB  tok/s 6,883
[19:14:40] step   700/2000  ce 4.7774  lr 1.39e-03  |grad| 0.31  mem 57.4GB  tok/s 6,884
[19:16:15] step   710/2000  ce 4.9756  lr 1.38e-03  |grad| 0.29  mem 57.4GB  tok/s 6,884
[19:17:50] step   720/2000  ce 4.7753  lr 1.37e-03  |grad| 0.27  mem 57.4GB  tok/s 6,884
[19:19:25] step   730/2000  ce 4.7161  lr 1.36e-03  |grad| 0.27  mem 57.4GB  tok/s 6,884
