step,loss,lr,grad_norm,peak_mem_gb,tok_seen
1,2.7548723220825195,4.5454545454545455e-06,0.5859375,50.008549888,524288
2,2.6629137992858887,9.090909090909091e-06,0.57421875,52.392778752,1048576
3,2.7404730319976807,1.3636363636363637e-05,0.6171875,52.392778752,1572864
4,2.6012229919433594,1.8181818181818182e-05,0.5859375,52.392778752,2097152
5,2.961380958557129,2.272727272727273e-05,0.58203125,52.392778752,2621440
6,2.6309194564819336,2.7272727272727273e-05,0.59375,52.392778752,3145728
7,2.7548108100891113,3.181818181818182e-05,0.578125,52.392778752,3670016
8,2.997037887573242,3.6363636363636364e-05,0.5859375,52.392778752,4194304
9,2.4972805976867676,4.0909090909090915e-05,0.5625,52.392778752,4718592
10,2.638899326324463,4.545454545454546e-05,0.55078125,52.392778752,5242880
11,2.711491346359253,5e-05,0.54296875,52.392778752,5767168
12,2.5824527740478516,4.9997609681985896e-05,0.546875,52.392778752,6291456
13,2.747936725616455,4.99904391857657e-05,0.53515625,52.392778752,6815744
14,2.595994472503662,4.9978489884718133e-05,0.52734375,52.392778752,7340032
15,2.64333176612854,4.996176406751542e-05,0.49609375,52.392778752,7864320
16,2.82375431060791,4.9940264937685e-05,0.5234375,52.392778752,8388608
17,2.504420042037964,4.9913996612995866e-05,0.48828125,52.392778752,8912896
18,2.5248565673828125,4.988296412466996e-05,0.49609375,52.392778752,9437184
19,2.5970559120178223,4.984717341641849e-05,0.48828125,52.392778752,9961472
20,2.717855930328369,4.9806631343303534e-05,0.46484375,52.392778752,10485760
21,2.736828088760376,4.976134567042506e-05,0.4765625,52.392778752,11010048
22,2.752389430999756,4.971132507143367e-05,0.46484375,52.392778752,11534336
23,2.5796003341674805,4.9656579126869365e-05,0.45703125,52.392778752,12058624
24,2.7333216667175293,4.959711832232648e-05,0.46484375,52.392778752,12582912
25,2.6269030570983887,4.9532954046445414e-05,0.4453125,52.392778752,13107200
26,2.796757221221924,4.9464098588731335e-05,0.44921875,52.392778752,13631488
27,2.679269790649414,4.939056513720035e-05,0.455078125,52.392778752,14155776
28,2.549229145050049,4.9312367775853566e-05,0.455078125,52.392778752,14680064
29,2.5190229415893555,4.922952148197956e-05,0.4375,52.392778752,15204352
30,2.55625319480896,4.914204212328577e-05,0.439453125,52.392778752,15728640
31,2.4270617961883545,4.9049946454859266e-05,0.42578125,52.392778752,16252928
32,2.4802205562591553,4.89532521159577e-05,0.42578125,52.392778752,16777216
33,2.498244285583496,4.885197762663076e-05,0.431640625,52.392778752,17301504
34,2.7102155685424805,4.874614238417301e-05,0.423828125,52.392778752,17825792
35,2.3241922855377197,4.86357666594087e-05,0.423828125,52.392778752,18350080
36,2.3850080966949463,4.8520871592809234e-05,0.408203125,52.392778752,18874368
37,2.6987199783325195,4.840147919044413e-05,0.416015625,52.392778752,19398656
38,2.646230697631836,4.827761231976611e-05,0.416015625,52.392778752,19922944
39,2.5308971405029297,4.8149294705231284e-05,0.40234375,52.392778752,20447232
40,2.4743247032165527,4.8016550923755186e-05,0.41015625,52.392778752,20971520
41,2.473565101623535,4.787940640000543e-05,0.408203125,52.392778752,21495808
42,2.68540096282959,4.773788740153217e-05,0.412109375,52.392778752,22020096
43,2.596123695373535,4.7592021033736935e-05,0.396484375,52.392778752,22544384
44,2.7462127208709717,4.7441835234681164e-05,0.40234375,52.392778752,23068672
45,2.803441047668457,4.728735876973513e-05,0.400390625,52.392778752,23592960
46,2.31289005279541,4.712862122606845e-05,0.392578125,52.392778752,24117248
47,2.562620162963867,4.696565300698322e-05,0.400390625,52.392778752,24641536
48,2.8395819664001465,4.6798485326090807e-05,0.390625,52.392778752,25165824
49,2.525639295578003,4.662715020133343e-05,0.39453125,52.392778752,25690112
50,2.387965440750122,4.6451680448851744e-05,0.392578125,52.392778752,26214400
51,2.6092259883880615,4.627210967669943e-05,0.39453125,52.392778752,26738688
52,2.345210552215576,4.608847227840629e-05,0.40234375,52.392778752,27262976
53,2.6001758575439453,4.590080342639066e-05,0.39453125,52.392778752,27787264
54,3.0374553203582764,4.570913906522288e-05,0.37890625,52.392778752,28311552
55,2.700922966003418,4.55135159047407e-05,0.380859375,52.392778752,28835840
56,2.558784008026123,4.531397141301819e-05,0.369140625,52.392778752,29360128
57,2.521627902984619,4.511054380918943e-05,0.384765625,52.392778752,29884416
58,2.679966926574707,4.490327205612829e-05,0.384765625,52.392778752,30408704
59,2.7597055435180664,4.4692195852985825e-05,0.384765625,52.392778752,30932992
60,2.3377606868743896,4.447735562758662e-05,0.3828125,52.392778752,31457280
61,2.5454490184783936,4.425879252868556e-05,0.396484375,52.392778752,31981568
62,2.5316381454467773,4.403654841808651e-05,0.388671875,52.392778752,32505856
63,2.64091157913208,4.3810665862624515e-05,0.38671875,52.392778752,33030144
64,2.7147040367126465,4.358118812601281e-05,0.390625,52.392778752,33554432
65,2.537937641143799,4.3348159160556526e-05,0.392578125,52.392778752,34078720
66,2.4018032550811768,4.311162359873431e-05,0.392578125,52.392778752,34603008
67,2.5391740798950195,4.28716267446499e-05,0.3828125,52.392778752,35127296
68,2.462108612060547,4.262821456535487e-05,0.373046875,52.392778752,35651584
69,2.6920528411865234,4.2381433682044486e-05,0.3828125,52.392778752,36175872
70,2.793851375579834,4.2131331361128275e-05,0.388671875,52.392778752,36700160
71,2.582803964614868,4.187795550517701e-05,0.375,52.392778752,37224448
72,2.3952274322509766,4.162135464374779e-05,0.36328125,52.392778752,37748736
73,2.2955574989318848,4.136157792408914e-05,0.37109375,52.392778752,38273024
74,2.6336464881896973,4.109867510172772e-05,0.365234375,52.392778752,38797312
75,2.5113766193389893,4.083269653093854e-05,0.40234375,52.392778752,39321600
76,2.414262533187866,4.056369315510055e-05,0.388671875,52.392778752,39845888
77,3.433239698410034,4.0291716496939305e-05,0.3671875,52.392778752,40370176
