[2026-06-27T23:15:22Z] [sentinel] armed: pid=3854112 kill_at=0.83 interval=30s grace=60s start_ticks=167457879 marker=/home/yashb98/Downloads/BuildFromScratch/research/loop_state.json.sentinel_kill
[2026-06-27T23:15:52Z] [sentinel] watched pid 3854112 exited on its own; disarming (no kill)
[2026-06-27T23:18:31Z] [sentinel] armed: pid=3857387 kill_at=0.83 interval=30s grace=60s start_ticks=167476724 marker=/home/yashb98/Downloads/BuildFromScratch/research/loop_state.json.sentinel_kill
[2026-06-27T23:28:01Z] [sentinel] heartbeat: pool usage 66.7%, pid 3857387 alive, rss 8.5 GiB
[2026-06-27T23:38:01Z] [sentinel] heartbeat: pool usage 66.8%, pid 3857387 alive, rss 8.5 GiB
[2026-06-27T23:48:01Z] [sentinel] heartbeat: pool usage 66.7%, pid 3857387 alive, rss 8.5 GiB
[2026-06-27T23:58:01Z] [sentinel] heartbeat: pool usage 66.7%, pid 3857387 alive, rss 8.5 GiB
[2026-06-28T00:08:01Z] [sentinel] heartbeat: pool usage 66.7%, pid 3857387 alive, rss 8.5 GiB
[2026-06-28T00:18:01Z] [sentinel] heartbeat: pool usage 66.7%, pid 3857387 alive, rss 8.5 GiB
[2026-06-28T00:28:01Z] [sentinel] heartbeat: pool usage 66.7%, pid 3857387 alive, rss 8.5 GiB
[2026-06-28T00:38:01Z] [sentinel] heartbeat: pool usage 66.7%, pid 3857387 alive, rss 8.5 GiB
[2026-06-28T00:48:01Z] [sentinel] heartbeat: pool usage 66.7%, pid 3857387 alive, rss 8.5 GiB
[2026-06-28T00:58:01Z] [sentinel] heartbeat: pool usage 66.7%, pid 3857387 alive, rss 8.5 GiB
[2026-06-28T01:08:01Z] [sentinel] heartbeat: pool usage 66.7%, pid 3857387 alive, rss 8.5 GiB
[2026-06-28T01:18:01Z] [sentinel] heartbeat: pool usage 65.7%, pid 3857387 alive, rss 7.2 GiB
[2026-06-28T01:28:01Z] [sentinel] heartbeat: pool usage 65.7%, pid 3857387 alive, rss 7.2 GiB
[2026-06-28T01:38:01Z] [sentinel] heartbeat: pool usage 65.7%, pid 3857387 alive, rss 7.2 GiB
[2026-06-28T01:48:01Z] [sentinel] heartbeat: pool usage 65.7%, pid 3857387 alive, rss 7.2 GiB
[2026-06-28T01:58:01Z] [sentinel] heartbeat: pool usage 65.8%, pid 3857387 alive, rss 7.2 GiB
[2026-06-28T02:08:01Z] [sentinel] heartbeat: pool usage 65.7%, pid 3857387 alive, rss 7.2 GiB
[2026-06-28T02:18:01Z] [sentinel] heartbeat: pool usage 65.7%, pid 3857387 alive, rss 7.2 GiB
[2026-06-28T02:28:01Z] [sentinel] heartbeat: pool usage 65.8%, pid 3857387 alive, rss 7.2 GiB
[2026-06-28T02:38:01Z] [sentinel] heartbeat: pool usage 65.7%, pid 3857387 alive, rss 7.2 GiB
[2026-06-28T02:48:01Z] [sentinel] heartbeat: pool usage 65.7%, pid 3857387 alive, rss 7.2 GiB
[2026-06-28T02:58:01Z] [sentinel] heartbeat: pool usage 65.8%, pid 3857387 alive, rss 7.2 GiB
[2026-06-28T03:08:01Z] [sentinel] heartbeat: pool usage 65.7%, pid 3857387 alive, rss 7.2 GiB
[2026-06-28T03:18:01Z] [sentinel] heartbeat: pool usage 65.8%, pid 3857387 alive, rss 7.2 GiB
[2026-06-28T03:28:01Z] [sentinel] heartbeat: pool usage 65.8%, pid 3857387 alive, rss 7.2 GiB
[2026-06-28T03:38:01Z] [sentinel] heartbeat: pool usage 65.8%, pid 3857387 alive, rss 7.2 GiB
[2026-06-28T03:48:01Z] [sentinel] heartbeat: pool usage 65.8%, pid 3857387 alive, rss 7.2 GiB
[2026-06-28T03:56:31Z] [sentinel] watched pid 3857387 exited on its own; disarming (no kill)
[2026-06-28T03:56:32Z] [sentinel] armed: pid=4063527 kill_at=0.83 interval=30s grace=60s start_ticks=169144822 marker=/home/yashb98/Downloads/BuildFromScratch/research/loop_state.json.sentinel_kill
[2026-06-28T04:06:02Z] [sentinel] heartbeat: pool usage 66.9%, pid 4063527 alive, rss 8.5 GiB
[2026-06-28T04:16:02Z] [sentinel] heartbeat: pool usage 66.9%, pid 4063527 alive, rss 8.5 GiB
[2026-06-28T04:26:02Z] [sentinel] heartbeat: pool usage 67.0%, pid 4063527 alive, rss 8.5 GiB
[2026-06-28T04:36:02Z] [sentinel] heartbeat: pool usage 66.9%, pid 4063527 alive, rss 8.5 GiB
[2026-06-28T04:46:02Z] [sentinel] heartbeat: pool usage 66.9%, pid 4063527 alive, rss 8.5 GiB
[2026-06-28T04:56:02Z] [sentinel] heartbeat: pool usage 66.9%, pid 4063527 alive, rss 8.5 GiB
[2026-06-28T05:06:02Z] [sentinel] heartbeat: pool usage 66.9%, pid 4063527 alive, rss 8.5 GiB
[2026-06-28T05:16:02Z] [sentinel] heartbeat: pool usage 67.0%, pid 4063527 alive, rss 8.5 GiB
[2026-06-28T05:26:02Z] [sentinel] heartbeat: pool usage 67.0%, pid 4063527 alive, rss 8.5 GiB
[2026-06-28T05:36:02Z] [sentinel] heartbeat: pool usage 67.0%, pid 4063527 alive, rss 8.5 GiB
[2026-06-28T05:46:02Z] [sentinel] heartbeat: pool usage 67.0%, pid 4063527 alive, rss 8.5 GiB
[2026-06-28T05:56:02Z] [sentinel] heartbeat: pool usage 66.0%, pid 4063527 alive, rss 7.2 GiB
[2026-06-28T06:06:02Z] [sentinel] heartbeat: pool usage 65.9%, pid 4063527 alive, rss 7.2 GiB
[2026-06-28T06:16:02Z] [sentinel] heartbeat: pool usage 66.0%, pid 4063527 alive, rss 7.2 GiB
[2026-06-28T06:26:02Z] [sentinel] heartbeat: pool usage 66.0%, pid 4063527 alive, rss 7.2 GiB
[2026-06-28T06:36:02Z] [sentinel] heartbeat: pool usage 65.9%, pid 4063527 alive, rss 7.2 GiB
[2026-06-28T06:46:02Z] [sentinel] heartbeat: pool usage 65.8%, pid 4063527 alive, rss 7.2 GiB
[2026-06-28T06:56:02Z] [sentinel] heartbeat: pool usage 65.9%, pid 4063527 alive, rss 7.2 GiB
[2026-06-28T07:06:02Z] [sentinel] heartbeat: pool usage 65.9%, pid 4063527 alive, rss 7.2 GiB
[2026-06-28T07:16:02Z] [sentinel] heartbeat: pool usage 65.9%, pid 4063527 alive, rss 7.2 GiB
[2026-06-28T07:26:02Z] [sentinel] heartbeat: pool usage 66.1%, pid 4063527 alive, rss 7.2 GiB
[2026-06-28T07:36:02Z] [sentinel] heartbeat: pool usage 65.9%, pid 4063527 alive, rss 7.2 GiB
[2026-06-28T07:46:02Z] [sentinel] heartbeat: pool usage 66.0%, pid 4063527 alive, rss 7.2 GiB
[2026-06-28T07:56:02Z] [sentinel] heartbeat: pool usage 65.9%, pid 4063527 alive, rss 7.2 GiB
[2026-06-28T08:06:02Z] [sentinel] heartbeat: pool usage 66.0%, pid 4063527 alive, rss 7.2 GiB
[2026-06-28T08:16:02Z] [sentinel] heartbeat: pool usage 66.1%, pid 4063527 alive, rss 7.2 GiB
[2026-06-28T08:26:02Z] [sentinel] heartbeat: pool usage 66.0%, pid 4063527 alive, rss 7.2 GiB
[2026-06-28T08:34:20Z] [sentinel] armed: pid=72874 kill_at=0.83 interval=30s grace=60s start_ticks=170811595 marker=/home/yashb98/Downloads/BuildFromScratch/research/loop_state.json.sentinel_kill
[2026-06-28T08:34:32Z] [sentinel] watched pid 4063527 exited on its own; disarming (no kill)
[2026-06-28T08:43:50Z] [sentinel] heartbeat: pool usage 67.0%, pid 72874 alive, rss 8.5 GiB
[2026-06-28T08:53:50Z] [sentinel] heartbeat: pool usage 67.0%, pid 72874 alive, rss 8.5 GiB
[2026-06-28T09:03:50Z] [sentinel] heartbeat: pool usage 67.1%, pid 72874 alive, rss 8.5 GiB
[2026-06-28T09:13:50Z] [sentinel] heartbeat: pool usage 67.0%, pid 72874 alive, rss 8.5 GiB
[2026-06-28T09:23:50Z] [sentinel] heartbeat: pool usage 67.0%, pid 72874 alive, rss 8.5 GiB
[2026-06-28T09:33:50Z] [sentinel] heartbeat: pool usage 66.9%, pid 72874 alive, rss 8.5 GiB
[2026-06-28T09:43:50Z] [sentinel] heartbeat: pool usage 67.0%, pid 72874 alive, rss 8.5 GiB
[2026-06-28T09:53:50Z] [sentinel] heartbeat: pool usage 67.0%, pid 72874 alive, rss 8.5 GiB
[2026-06-28T10:03:50Z] [sentinel] heartbeat: pool usage 66.9%, pid 72874 alive, rss 8.5 GiB
[2026-06-28T10:13:50Z] [sentinel] heartbeat: pool usage 67.0%, pid 72874 alive, rss 8.5 GiB
[2026-06-28T10:23:50Z] [sentinel] heartbeat: pool usage 66.9%, pid 72874 alive, rss 8.5 GiB
[2026-06-28T10:33:50Z] [sentinel] heartbeat: pool usage 66.0%, pid 72874 alive, rss 7.2 GiB
[2026-06-28T10:43:50Z] [sentinel] heartbeat: pool usage 66.0%, pid 72874 alive, rss 7.2 GiB
[2026-06-28T10:53:50Z] [sentinel] heartbeat: pool usage 66.0%, pid 72874 alive, rss 7.2 GiB
[2026-06-28T11:03:50Z] [sentinel] heartbeat: pool usage 65.9%, pid 72874 alive, rss 7.2 GiB
[2026-06-28T11:13:50Z] [sentinel] heartbeat: pool usage 66.0%, pid 72874 alive, rss 7.2 GiB
[2026-06-28T11:23:50Z] [sentinel] heartbeat: pool usage 66.0%, pid 72874 alive, rss 7.2 GiB
[2026-06-28T11:33:50Z] [sentinel] heartbeat: pool usage 66.0%, pid 72874 alive, rss 7.2 GiB
[2026-06-28T11:43:50Z] [sentinel] heartbeat: pool usage 66.0%, pid 72874 alive, rss 7.2 GiB
