Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[safe_cuda] capped CUDA at 85% of 129 GB unified pool (~109 GB); over-allocation now errors cleanly.
[07:39:07] ARM grpo_seed0: steps=300 prompts/step=16 G=8 cap=256 beta_kl=0.003 clip=0.2 lr=1e-06 extractor=math-acc-v1 n_prompt_pool=10961
/home/yashb98/Downloads/BuildFromScratch/Qwen3-0.6B/experiments/2026-07-02_qwen3-0.6b_grpo-phase2/train_grpo.py:262: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  loss_sum += float(mb_loss)
[07:44:58] step 1/300 reward=0.0 kept=14 len=198.2 kl=0.0 (336.6s)
[07:52:31] step 2/300 reward=0.0078 kept=14 len=214.6 kl=0.000164 (453.7s)
[07:57:28] step 3/300 reward=0.0 kept=11 len=205.3 kl=0.000162 (296.7s)
[08:03:11] step 4/300 reward=0.0 kept=14 len=170.6 kl=0.000174 (343.4s)
[08:08:31] step 5/300 reward=0.0156 kept=14 len=200.0 kl=0.000179 (320.0s)
[08:13:45] step 6/300 reward=0.0 kept=14 len=178.1 kl=0.000165 (313.6s)
[08:18:55] step 7/300 reward=0.0078 kept=13 len=185.2 kl=0.000169 (310.1s)
[08:25:11] step 8/300 reward=0.0 kept=14 len=208.0 kl=0.000177 (375.6s)
[08:30:22] step 9/300 reward=0.0156 kept=14 len=203.1 kl=0.00016 (311.2s)
[08:35:26] step 10/300 reward=0.0 kept=12 len=199.5 kl=0.000174 (303.8s)
[08:40:35] step 11/300 reward=0.0078 kept=13 len=193.8 kl=0.000173 (308.9s)
[08:45:51] step 12/300 reward=0.0 kept=11 len=199.2 kl=0.000165 (316.7s)
[08:51:17] step 13/300 reward=0.0078 kept=15 len=189.9 kl=0.000176 (325.4s)
[08:56:27] step 14/300 reward=0.0234 kept=12 len=188.7 kl=0.000167 (310.1s)
[09:01:33] step 15/300 reward=0.0078 kept=14 len=196.1 kl=0.000179 (306.0s)
[09:06:41] step 16/300 reward=0.0078 kept=13 len=184.1 kl=0.000166 (308.4s)
[09:11:56] step 17/300 reward=0.0 kept=12 len=189.9 kl=0.000183 (314.8s)
[09:16:57] step 18/300 reward=0.0078 kept=14 len=205.4 kl=0.000175 (301.4s)
[09:22:16] step 19/300 reward=0.0078 kept=11 len=203.8 kl=0.000167 (318.9s)
[09:27:36] step 20/300 reward=0.0234 kept=16 len=199.2 kl=0.000179 (319.7s)
[09:32:34] step 21/300 reward=0.0 kept=14 len=196.7 kl=0.00017 (298.0s)
[09:37:34] step 22/300 reward=0.0078 kept=15 len=204.9 kl=0.000177 (299.6s)
[09:42:37] step 23/300 reward=0.0 kept=14 len=179.2 kl=0.000167 (302.9s)
[09:47:41] step 24/300 reward=0.0156 kept=14 len=192.6 kl=0.000163 (304.4s)
[09:53:34] step 25/300 reward=0.0156 kept=14 len=188.1 kl=0.00018 (352.7s)
[09:59:46] step 26/300 reward=0.0391 kept=16 len=187.0 kl=0.000178 (369.2s)
[10:05:23] step 27/300 reward=0.0078 kept=14 len=219.9 kl=0.000163 (337.4s)
[10:10:16] step 28/300 reward=0.0156 kept=12 len=203.1 kl=0.000182 (292.5s)
[10:15:20] step 29/300 reward=0.0 kept=13 len=206.0 kl=0.000171 (304.3s)
[10:20:22] step 30/300 reward=0.0078 kept=11 len=213.2 kl=0.000161 (301.7s)
[10:25:40] step 31/300 reward=0.0 kept=15 len=181.0 kl=0.000156 (318.3s)
[10:30:52] step 32/300 reward=0.0156 kept=13 len=199.8 kl=0.000181 (311.7s)
[10:36:02] step 33/300 reward=0.0 kept=12 len=195.5 kl=0.000173 (310.1s)
[10:41:16] step 34/300 reward=0.0078 kept=14 len=192.4 kl=0.000186 (314.0s)
[10:46:41] step 35/300 reward=0.0234 kept=14 len=211.7 kl=0.000164 (324.9s)
[10:51:43] step 36/300 reward=0.0156 kept=16 len=183.2 kl=0.000176 (302.4s)
[10:56:42] step 37/300 reward=0.0078 kept=16 len=193.7 kl=0.000169 (298.7s)
[11:01:36] step 38/300 reward=0.0078 kept=10 len=203.6 kl=0.000183 (294.2s)
[11:06:34] step 39/300 reward=0.0156 kept=13 len=189.7 kl=0.000203 (298.0s)
[11:11:33] step 40/300 reward=0.0156 kept=14 len=199.0 kl=0.000173 (299.1s)
[11:16:31] step 41/300 reward=0.0 kept=13 len=188.7 kl=0.000174 (297.6s)
[11:21:37] step 42/300 reward=0.0156 kept=14 len=193.0 kl=0.000172 (305.6s)
[11:27:24] step 43/300 reward=0.0156 kept=14 len=189.2 kl=0.000192 (347.3s)
[11:33:00] step 44/300 reward=0.0156 kept=13 len=192.4 kl=0.00017 (336.3s)
[11:37:54] step 45/300 reward=0.0078 kept=13 len=178.6 kl=0.000171 (293.4s)
[11:42:54] step 46/300 reward=0.0234 kept=14 len=197.4 kl=0.000194 (300.6s)
[11:48:05] step 47/300 reward=0.0 kept=13 len=188.5 kl=0.000182 (310.5s)
[11:53:24] step 48/300 reward=0.0078 kept=14 len=205.1 kl=0.000173 (319.0s)
[11:58:44] step 49/300 reward=0.0078 kept=14 len=199.1 kl=0.000171 (320.1s)
[12:04:09] step 50/300 reward=0.0 kept=14 len=203.6 kl=0.000167 (324.8s)
[12:09:27] step 51/300 reward=0.0078 kept=11 len=202.4 kl=0.000151 (314.8s)
[12:14:24] step 52/300 reward=0.0078 kept=14 len=197.8 kl=0.000163 (296.6s)
[12:19:23] step 53/300 reward=0.0 kept=13 len=191.3 kl=0.000174 (299.5s)
[12:24:56] step 54/300 reward=0.0 kept=12 len=206.5 kl=0.000168 (332.8s)
[12:30:20] step 55/300 reward=0.0078 kept=11 len=199.8 kl=0.000176 (324.1s)
[12:35:27] step 56/300 reward=0.0 kept=12 len=206.4 kl=0.000179 (306.4s)
[12:40:45] step 57/300 reward=0.0078 kept=16 len=189.7 kl=0.000171 (318.4s)
[12:45:56] step 58/300 reward=0.0312 kept=15 len=186.8 kl=0.000186 (311.1s)
[12:51:19] step 59/300 reward=0.0156 kept=13 len=204.1 kl=0.000163 (323.0s)
[12:56:59] step 60/300 reward=0.0078 kept=13 len=193.6 kl=0.000163 (339.9s)
[13:02:44] step 61/300 reward=0.0 kept=13 len=193.1 kl=0.000177 (345.3s)
[13:08:03] step 62/300 reward=0.0078 kept=14 len=190.6 kl=0.000174 (319.0s)
[13:13:38] step 63/300 reward=0.0 kept=14 len=180.1 kl=0.000172 (334.8s)
[13:19:06] step 64/300 reward=0.0156 kept=14 len=203.6 kl=0.000175 (327.5s)
[13:24:21] step 65/300 reward=0.0 kept=14 len=204.8 kl=0.000172 (315.7s)
[13:30:38] step 66/300 reward=0.0156 kept=10 len=198.8 kl=0.000172 (376.9s)
[13:35:53] step 67/300 reward=0.0156 kept=14 len=194.8 kl=0.000166 (315.1s)
[13:41:11] step 68/300 reward=0.0 kept=13 len=195.6 kl=0.000157 (317.3s)
[13:46:25] step 69/300 reward=0.0234 kept=14 len=191.9 kl=0.000166 (314.8s)
[13:51:42] step 70/300 reward=0.0 kept=14 len=188.5 kl=0.000181 (316.9s)
[13:58:28] step 71/300 reward=0.0 kept=10 len=197.2 kl=0.000187 (405.6s)
[14:03:24] step 72/300 reward=0.0078 kept=15 len=189.2 kl=0.000173 (296.3s)
[14:08:34] step 73/300 reward=0.0 kept=14 len=207.3 kl=0.000165 (309.3s)
[14:13:41] step 74/300 reward=0.0078 kept=14 len=189.3 kl=0.000172 (307.1s)
[14:19:01] step 75/300 reward=0.0078 kept=15 len=191.5 kl=0.000163 (320.0s)
[14:24:05] step 76/300 reward=0.0078 kept=14 len=194.9 kl=0.000182 (301.2s)
[14:29:00] step 77/300 reward=0.0078 kept=12 len=205.6 kl=0.000168 (294.3s)
