[2026-07-02T07:39:04Z] [sentinel] armed: pid=3134930 kill_at=0.83 interval=30s grace=60s start_ticks=25209537 marker=/home/yashb98/Downloads/BuildFromScratch/research/loop_state.json.sentinel_kill
[2026-07-02T07:48:34Z] [sentinel] heartbeat: pool usage 26.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T07:58:34Z] [sentinel] heartbeat: pool usage 41.9%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T08:08:34Z] [sentinel] heartbeat: pool usage 42.0%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T08:18:34Z] [sentinel] heartbeat: pool usage 42.0%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T08:28:34Z] [sentinel] heartbeat: pool usage 42.2%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T08:38:34Z] [sentinel] heartbeat: pool usage 42.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T08:48:34Z] [sentinel] heartbeat: pool usage 42.2%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T08:58:34Z] [sentinel] heartbeat: pool usage 42.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T09:08:34Z] [sentinel] heartbeat: pool usage 42.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T09:18:34Z] [sentinel] heartbeat: pool usage 42.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T09:28:34Z] [sentinel] heartbeat: pool usage 42.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T09:38:34Z] [sentinel] heartbeat: pool usage 42.2%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T09:48:34Z] [sentinel] heartbeat: pool usage 42.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T09:58:34Z] [sentinel] heartbeat: pool usage 42.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T10:08:34Z] [sentinel] heartbeat: pool usage 42.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T10:18:34Z] [sentinel] heartbeat: pool usage 42.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T10:28:34Z] [sentinel] heartbeat: pool usage 42.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T10:38:34Z] [sentinel] heartbeat: pool usage 42.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T10:48:34Z] [sentinel] heartbeat: pool usage 42.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T10:58:34Z] [sentinel] heartbeat: pool usage 42.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T11:08:34Z] [sentinel] heartbeat: pool usage 42.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T11:18:34Z] [sentinel] heartbeat: pool usage 42.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T11:28:34Z] [sentinel] heartbeat: pool usage 42.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T11:38:34Z] [sentinel] heartbeat: pool usage 42.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T11:48:34Z] [sentinel] heartbeat: pool usage 42.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T11:58:34Z] [sentinel] heartbeat: pool usage 42.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T12:08:34Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T12:18:34Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T12:28:34Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T12:38:34Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T12:48:34Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
